c,h,l,n,o,t,v,vw
39.9,40.17,39.9,5,40.17,2016-01-06T05:00:00Z,3000,40.14
39.9,39.9,39.9,0,39.9,2016-01-07T05:00:00Z,0,0.0
40.15,40.15,40.15,4,40.15,2016-01-08T05:00:00Z,4000,40.15
40.15,40.15,40.15,0,40.15,2016-01-11T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-12T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-13T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-14T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-15T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-19T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-20T05:00:00Z,0,0.0
40.15,40.15,40.15,0,40.15,2016-01-21T05:00:00Z,0,0.0
39.32,39.33,39.3,12,39.3,2016-01-22T05:00:00Z,3700,39.32
39.45,39.45,39.45,0,39.45,2016-01-25T05:00:00Z,0,0.0
39.45,39.45,39.45,0,39.45,2016-01-26T05:00:00Z,0,0.0
39.27,39.27,39.27,1,39.27,2016-01-27T05:00:00Z,140,39.27
39.31,39.31,39.27,5,39.31,2016-01-28T05:00:00Z,4967,39.31
39.31,39.31,39.31,0,39.31,2016-01-29T05:00:00Z,0,0.0
39.31,39.31,39.31,0,39.31,2016-02-01T05:00:00Z,0,0.0
39.31,39.31,39.31,0,39.31,2016-02-02T05:00:00Z,0,0.0
39.31,39.31,39.31,0,39.31,2016-02-03T05:00:00Z,0,0.0
39.31,39.31,39.31,0,39.31,2016-02-04T05:00:00Z,0,0.0
39.31,39.31,39.31,0,39.31,2016-02-05T05:00:00Z,0,0.0
39.06,39.06,39.06,1,39.06,2016-02-08T05:00:00Z,150,39.06
39.06,39.06,39.06,0,39.06,2016-02-09T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-10T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-11T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-12T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-16T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-17T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-18T05:00:00Z,0,0.0
39.06,39.06,39.06,0,39.06,2016-02-19T05:00:00Z,0,0.0
39.19,39.19,39.19,0,39.19,2016-02-22T05:00:00Z,0,0.0
39.19,39.19,39.19,0,39.19,2016-02-23T05:00:00Z,0,0.0
39.28,39.28,39.28,2,39.28,2016-02-24T05:00:00Z,2000,39.28
39.4,39.4,39.4,5,39.4,2016-02-25T05:00:00Z,2203,39.4
39.28,39.28,39.28,1,39.28,2016-02-26T05:00:00Z,555,39.28
39.28,39.28,39.28,0,39.28,2016-02-29T05:00:00Z,0,0.0
39.28,39.28,39.28,0,39.28,2016-03-01T05:00:00Z,0,0.0
39.77,39.77,39.77,2,39.77,2016-03-02T05:00:00Z,200,39.77
39.77,39.77,39.77,0,39.77,2016-03-03T05:00:00Z,0,0.0
