c,h,l,n,o,t,v,vw
23.94,24.4,22.625,83,23.79,2016-01-04T05:00:00Z,9933,23.827463
23.53,24.25,23.53,56,24.06,2016-01-05T05:00:00Z,4142,23.760546
23.825,23.89,23.47,74,23.53,2016-01-06T05:00:00Z,9247,23.732041
23.67,23.91,23.16,43,23.16,2016-01-07T05:00:00Z,5996,23.374495
23.49,24.1,23.14,49,24.1,2016-01-08T05:00:00Z,3834,23.598549
23.05,23.73,23.05,49,23.7,2016-01-11T05:00:00Z,2612,23.369047
23.34,23.5373,22.32,66,23.43,2016-01-12T05:00:00Z,6596,23.038088
23.02,23.26,22.1124,55,22.1124,2016-01-13T05:00:00Z,5612,22.94639
22.39,23.0,21.7473,101,22.89,2016-01-14T05:00:00Z,12364,22.305621
21.8,21.85,21.5,203,21.85,2016-01-15T05:00:00Z,21944,21.65846
22.36,23.15,21.71,71,21.71,2016-01-19T05:00:00Z,7329,22.414266
21.93,22.19,21.63,154,22.06,2016-01-20T05:00:00Z,22634,21.929908
21.87,22.17,21.65,69,22.17,2016-01-21T05:00:00Z,8072,21.810237
21.8,22.19,21.8,31,22.018,2016-01-22T05:00:00Z,3472,22.080717
22.0,22.1,21.72,92,22.07,2016-01-25T05:00:00Z,9929,21.996981
21.81,22.08,21.81,55,22.08,2016-01-26T05:00:00Z,5419,21.961984
21.99,22.06,21.72,33,21.88,2016-01-27T05:00:00Z,3415,21.907414
21.95,22.0,21.7,92,21.9463,2016-01-28T05:00:00Z,13489,21.913555
21.67,22.1,21.6611,58,21.6611,2016-01-29T05:00:00Z,6141,21.908725
21.45,22.78,21.1,158,22.073,2016-02-01T05:00:00Z,31382,21.73319
21.76,21.9,21.15,81,21.15,2016-02-02T05:00:00Z,9257,21.714319
21.54,22.28,21.2615,96,21.2615,2016-02-03T05:00:00Z,28136,21.48711
21.64,21.99,21.61,43,21.61,2016-02-04T05:00:00Z,5496,21.729043
21.64,21.91,21.64,53,21.682,2016-02-05T05:00:00Z,5110,21.736853
21.11,21.74,21.01,71,21.74,2016-02-08T05:00:00Z,15560,21.339984
21.1,21.72,20.88,118,21.02,2016-02-09T05:00:00Z,22554,21.324637
21.29,21.765,21.26,73,21.63,2016-02-10T05:00:00Z,5103,21.530529
20.52,21.18,20.5,139,21.088,2016-02-11T05:00:00Z,13087,20.965858
20.76,21.2,20.59,61,21.2,2016-02-12T05:00:00Z,3945,20.962591
21.18,21.2,20.894,70,20.894,2016-02-16T05:00:00Z,7571,21.116526
21.15,21.2,20.92,214,21.2,2016-02-17T05:00:00Z,27104,21.112283
20.99,21.21,20.99,77,21.21,2016-02-18T05:00:00Z,8031,21.170866
20.85,21.2,20.85,79,21.1,2016-02-19T05:00:00Z,7930,21.133079
21.64,23.84,21.28,197,22.7,2016-02-22T05:00:00Z,20121,21.845211
22.27,23.24,21.34,127,21.34,2016-02-23T05:00:00Z,13255,22.520435
22.31,22.84,21.18,196,22.46,2016-02-24T05:00:00Z,71383,22.347258
22.18,22.95,22.12,108,22.19,2016-02-25T05:00:00Z,6377,22.509224
22.43,22.74,21.28,200,22.3,2016-02-26T05:00:00Z,10699,22.473428
22.37,22.9,21.72,93,22.64,2016-02-29T05:00:00Z,12805,22.43908
22.82,23.32,21.7001,155,22.5,2016-03-01T05:00:00Z,14052,22.777962
23.62,23.82,22.86,112,23.1,2016-03-02T05:00:00Z,15359,23.380458
23.44,24.15,23.35,83,23.58,2016-03-03T05:00:00Z,7403,23.579784
22.8,23.75,21.9,194,23.75,2016-03-04T05:00:00Z,21024,22.507232
23.1,23.145,22.42,186,22.64,2016-03-07T05:00:00Z,14436,22.906654
22.86,23.17,22.74,78,22.85,2016-03-08T05:00:00Z,5452,22.950683
23.13,23.16,22.75,97,22.75,2016-03-09T05:00:00Z,6967,22.939135
22.42,23.39,22.42,85,23.04,2016-03-10T05:00:00Z,5761,23.054196
22.78,23.48,22.78,144,22.88,2016-03-11T05:00:00Z,17974,23.161968
22.98,23.68,22.79,177,23.03,2016-03-14T04:00:00Z,9331,23.114947
22.75,23.09,22.37,105,22.98,2016-03-15T04:00:00Z,8953,22.880498
22.29,23.0,22.21,62,22.49,2016-03-16T04:00:00Z,6430,22.402669
22.34,22.68,22.04,109,22.55,2016-03-17T04:00:00Z,13815,22.415245
21.84,22.64,21.55,163,22.38,2016-03-18T04:00:00Z,23751,21.918556
21.98,22.34,21.68,42,21.68,2016-03-21T04:00:00Z,4900,21.83811
22.17,22.45,21.96,64,22.41,2016-03-22T04:00:00Z,7624,22.146146
21.92,22.55,21.73,105,21.73,2016-03-23T04:00:00Z,8364,22.039862
21.74,22.23,21.07,452,22.01,2016-03-24T04:00:00Z,39431,21.41056
21.39,21.64,21.01,159,21.46,2016-03-28T04:00:00Z,17126,21.312701
21.68,21.87,21.19,288,21.19,2016-03-29T04:00:00Z,26239,21.397711
21.71,21.94,21.32,292,21.57,2016-03-30T04:00:00Z,26461,21.661689
22.27,22.58,21.5,173,21.5,2016-03-31T04:00:00Z,16275,22.198968
22.86,23.0,22.28,213,22.305,2016-04-01T04:00:00Z,22941,22.803275
22.84,23.0,22.065,252,22.94,2016-04-04T04:00:00Z,20069,22.917126
22.89,22.99,22.59,234,22.68,2016-04-05T04:00:00Z,13320,22.830637
22.83,23.0,22.61,212,22.97,2016-04-06T04:00:00Z,13912,22.927238
22.77,22.98,22.57,191,22.9,2016-04-07T04:00:00Z,11041,22.837211
22.96,22.98,22.43,277,22.9,2016-04-08T04:00:00Z,16360,22.814395
22.66,23.0,22.57,220,22.99,2016-04-11T04:00:00Z,45622,22.969579
22.98,22.98,22.56,212,22.7411,2016-04-12T04:00:00Z,14040,22.80946
22.97,23.0,22.56,252,22.96,2016-04-13T04:00:00Z,16934,22.900765
22.8,22.96,22.33,134,22.88,2016-04-14T04:00:00Z,9472,22.816226
22.63,22.95,22.54,167,22.82,2016-04-15T04:00:00Z,12323,22.766742
22.83,22.85,22.64,180,22.64,2016-04-18T04:00:00Z,21080,22.825055
22.81,22.99,22.78,141,22.86,2016-04-19T04:00:00Z,5855,22.881868
22.97,22.99,22.6875,266,22.82,2016-04-20T04:00:00Z,15758,22.938365
24.18,24.215,22.94,351,22.99,2016-04-21T04:00:00Z,46089,23.171988
24.45,24.725,23.82,171,23.82,2016-04-22T04:00:00Z,13826,24.401175
24.46,24.57,23.06,214,24.57,2016-04-25T04:00:00Z,19230,23.676485
24.27,24.725,23.86,178,24.72,2016-04-26T04:00:00Z,16076,24.379056
24.57,24.7195,23.18,144,24.235,2016-04-27T04:00:00Z,12264,24.380521
24.61,24.96,24.6,73,24.6945,2016-04-28T04:00:00Z,5841,24.775491
24.85,24.99,24.61,92,24.99,2016-04-29T04:00:00Z,8861,24.782103
25.02,25.49,24.6,375,24.9,2016-05-02T04:00:00Z,25804,25.042189
24.58,24.93,24.3,187,24.93,2016-05-03T04:00:00Z,22118,24.518491
24.29,24.63,23.63,147,23.99,2016-05-04T04:00:00Z,18207,24.130354
24.91,24.97,23.937,144,24.66,2016-05-05T04:00:00Z,10739,24.524343
25.19,25.22,24.54,164,24.67,2016-05-06T04:00:00Z,17168,24.91806
25.0,25.13,24.11,311,25.13,2016-05-09T04:00:00Z,29183,24.892557
24.93,25.36,24.61,241,25.29,2016-05-10T04:00:00Z,25446,24.902939
24.38,24.97,24.16,182,24.73,2016-05-11T04:00:00Z,19704,24.62029
22.88,24.48,22.8401,328,24.46,2016-05-12T04:00:00Z,28403,23.639369
22.51,23.19,22.4,160,23.0,2016-05-13T04:00:00Z,18022,22.872894
22.64,22.87,22.19,272,22.77,2016-05-16T04:00:00Z,20082,22.615216
21.56,22.68,21.15,275,22.62,2016-05-17T04:00:00Z,23416,21.939515
21.93,22.14,21.22,266,21.36,2016-05-18T04:00:00Z,28728,21.665399
21.41,22.06,21.16,242,21.55,2016-05-19T04:00:00Z,27248,21.488182
21.14,21.81,21.13,162,21.41,2016-05-20T04:00:00Z,15686,21.347895
21.0,21.245,20.86,359,21.17,2016-05-23T04:00:00Z,70081,21.065348
21.05,21.49,20.98,161,21.09,2016-05-24T04:00:00Z,26722,21.182487
21.11,21.29,20.91,480,21.15,2016-05-25T04:00:00Z,42306,21.048597
21.11,21.35,20.91,169,21.26,2016-05-26T04:00:00Z,27419,21.136631
21.26,21.57,21.05,173,21.05,2016-05-27T04:00:00Z,36196,21.192616
21.55,21.96,21.19,320,21.2,2016-05-31T04:00:00Z,41848,21.389188
21.45,21.78,21.38,191,21.42,2016-06-01T04:00:00Z,24026,21.517292
20.9,21.31,20.9,446,21.3,2016-06-02T04:00:00Z,85829,21.141441
21.09,21.44,20.52,236,20.94,2016-06-03T04:00:00Z,22953,20.973457
21.48,21.675,20.906,324,21.35,2016-06-06T04:00:00Z,14609,21.41577
