c,h,l,n,o,t,v,vw
9.263,9.267,8.54,14674,8.666,2016-01-04T05:00:00Z,2091428,9.043
9.286,9.393,9.062,8600,9.305,2016-01-05T05:00:00Z,1130029,9.265
9.23,9.277,9.109,6450,9.211,2016-01-06T05:00:00Z,1071486,9.207
9.673,10.01,9.132,15985,9.132,2016-01-07T05:00:00Z,2136972,9.669
8.885,9.734,8.866,20107,9.692,2016-01-08T05:00:00Z,2938050,9.186
8.946,9.174,8.89,10019,8.964,2016-01-11T05:00:00Z,1343742,9.008
8.834,9.048,8.641,7385,9.048,2016-01-12T05:00:00Z,999046,8.812
8.554,9.034,8.449,8539,8.876,2016-01-13T05:00:00Z,1093344,8.705
8.745,8.764,8.353,9934,8.596,2016-01-14T05:00:00Z,1333755,8.543
8.642,8.782,8.395,9289,8.675,2016-01-15T05:00:00Z,1276761,8.608
8.279,8.862,8.237,8999,8.722,2016-01-19T05:00:00Z,1150293,8.381
8.148,8.4,7.812,12292,8.195,2016-01-20T05:00:00Z,1919555,8.103
8.157,8.297,7.961,11870,8.162,2016-01-21T05:00:00Z,1375385,8.172
8.834,8.871,8.181,8768,8.297,2016-01-22T05:00:00Z,1279858,8.679
8.801,9.039,8.698,8920,8.782,2016-01-25T05:00:00Z,1134030,8.889
9.039,9.179,8.801,7266,8.81,2016-01-26T05:00:00Z,884574,9.038
8.722,9.016,8.694,6781,9.016,2016-01-27T05:00:00Z,1091066,8.854
8.857,8.936,8.722,5897,8.834,2016-01-28T05:00:00Z,781429,8.868
8.96,9.009,8.862,8728,8.899,2016-01-29T05:00:00Z,1155282,8.958
9.048,9.216,8.801,15456,8.899,2016-02-01T05:00:00Z,2926364,9.005
8.829,8.978,8.759,6824,8.978,2016-02-02T05:00:00Z,1187385,8.859
8.717,8.921,8.531,9568,8.862,2016-02-03T05:00:00Z,1611739,8.716
8.666,8.778,8.642,14283,8.717,2016-02-04T05:00:00Z,2703543,8.694
8.624,8.703,8.577,7102,8.661,2016-02-05T05:00:00Z,991412,8.641
7.91,8.582,7.784,16726,8.577,2016-02-08T05:00:00Z,4066337,8.021
7.71,7.943,7.588,10682,7.892,2016-02-09T05:00:00Z,1774295,7.73
7.574,7.84,7.57,8114,7.742,2016-02-10T05:00:00Z,1335650,7.71
7.313,7.691,7.295,11091,7.476,2016-02-11T05:00:00Z,1559534,7.415
7.187,7.602,7.057,19594,7.402,2016-02-12T05:00:00Z,3174917,7.176
7.439,7.483,7.271,11450,7.281,2016-02-16T05:00:00Z,2077939,7.375
7.747,7.918,7.481,10720,7.5,2016-02-17T05:00:00Z,1604629,7.756
7.607,7.854,7.388,6927,7.794,2016-02-18T05:00:00Z,993536,7.601
7.537,7.719,7.42,8964,7.579,2016-02-19T05:00:00Z,1219716,7.533
