c,h,l,n,o,t,v,vw
48.63,48.77,48.63,19,48.77,2024-03-14T04:00:00Z,15459,48.87
48.63,48.63,48.63,0,48.63,2024-03-15T04:00:00Z,0,0.0
48.49,48.49,48.49,6,48.49,2024-03-18T04:00:00Z,1046,48.48
48.49,48.49,48.49,0,48.49,2024-03-19T04:00:00Z,0,0.0
48.72,48.72,48.72,2,48.72,2024-03-20T04:00:00Z,40,48.69
48.73,48.73,48.72,1,48.72,2024-03-21T04:00:00Z,200,48.72
48.96,48.96,48.96,1,48.96,2024-03-22T04:00:00Z,10,49.0
48.96,48.96,48.96,0,48.96,2024-03-25T04:00:00Z,0,0.0
48.96,48.96,48.96,0,48.96,2024-03-26T04:00:00Z,0,0.0
49.09,49.09,48.98,2,48.99,2024-03-27T04:00:00Z,550,48.99
49.04,49.05,49.02,10,49.05,2024-03-28T04:00:00Z,3496,49.03
48.6,48.69,48.6,4,48.69,2024-04-01T04:00:00Z,800,48.69
48.51,48.51,48.39,3,48.39,2024-04-02T04:00:00Z,308,48.42
48.55,48.55,48.44,2,48.44,2024-04-03T04:00:00Z,110,48.44
48.73,48.73,48.65,3,48.65,2024-04-04T04:00:00Z,201,48.68
48.41,48.49,48.41,6,48.47,2024-04-05T04:00:00Z,1329,48.46
48.3,48.33,48.3,4,48.33,2024-04-08T04:00:00Z,213,48.33
48.3,48.3,48.3,0,48.3,2024-04-09T04:00:00Z,0,0.0
47.84,48.09,47.84,7,48.09,2024-04-10T04:00:00Z,951,48.02
47.78,47.78,47.78,1,47.78,2024-04-11T04:00:00Z,44,47.78
47.98,48.06,47.98,5,48.02,2024-04-12T04:00:00Z,910,48.04
47.66,47.66,47.59,14,47.66,2024-04-15T04:00:00Z,2000,47.62
47.49,47.49,47.49,2,47.49,2024-04-16T04:00:00Z,11,47.49
47.78,47.78,47.76,3,47.76,2024-04-17T04:00:00Z,336,47.76
47.62,47.62,47.61,6,47.61,2024-04-18T04:00:00Z,1014,47.61
47.67,47.69,47.67,1,47.69,2024-04-19T04:00:00Z,100,47.69
47.68,47.68,47.68,5,47.68,2024-04-22T04:00:00Z,42,47.61
47.74,47.74,47.71,4,47.71,2024-04-23T04:00:00Z,1200,47.71
47.61,47.61,47.57,7,47.6,2024-04-24T04:00:00Z,448,47.58
47.42,47.42,47.34,5,47.35,2024-04-25T04:00:00Z,811,47.35
47.54,47.54,47.54,1,47.54,2024-04-26T04:00:00Z,1,47.59
47.72,47.72,47.72,3,47.72,2024-04-29T04:00:00Z,45,47.64
47.49,47.49,47.49,1,47.49,2024-04-30T04:00:00Z,1,47.56
47.71,47.71,47.56,69,47.67,2024-05-01T04:00:00Z,16218,47.63
47.71,47.71,47.71,0,47.71,2024-05-02T04:00:00Z,0,0.0
48.2,48.26,48.14,25,48.26,2024-05-03T04:00:00Z,4601,48.2
48.2,48.2,48.2,0,48.2,2024-05-06T04:00:00Z,0,0.0
48.36,48.36,48.36,1,48.36,2024-05-07T04:00:00Z,10,48.38
48.24,48.24,48.24,1,48.24,2024-05-08T04:00:00Z,86,48.27
48.37,48.4,48.37,9,48.4,2024-05-09T04:00:00Z,691,48.39
48.37,48.37,48.37,0,48.37,2024-05-10T04:00:00Z,0,0.0
48.27,48.27,48.27,3,48.27,2024-05-13T04:00:00Z,99,48.3
48.27,48.27,48.27,0,48.27,2024-05-14T04:00:00Z,0,0.0
48.76,48.76,48.67,6,48.69,2024-05-15T04:00:00Z,900,48.69
48.67,48.76,48.67,1,48.76,2024-05-16T04:00:00Z,200,48.76
48.53,48.62,48.53,1,48.62,2024-05-17T04:00:00Z,101,48.62
48.46,48.46,48.46,2,48.46,2024-05-20T04:00:00Z,2,48.47
48.46,48.46,48.46,0,48.46,2024-05-21T04:00:00Z,0,0.0
48.46,48.46,48.46,0,48.46,2024-05-22T04:00:00Z,0,0.0
48.36,48.43,48.36,20,48.38,2024-05-23T04:00:00Z,7000,48.41
48.4,48.4,48.4,1,48.4,2024-05-24T04:00:00Z,1,48.38
48.4,48.4,48.4,0,48.4,2024-05-28T04:00:00Z,0,0.0
47.91,47.91,47.91,1,47.91,2024-05-29T04:00:00Z,1,47.97
