c,h,l,n,o,t,v,vw
19.55,19.55,18.0,7,18.0,2016-01-04T05:00:00Z,2059,18.31
19.55,19.55,19.55,0,19.55,2016-01-05T05:00:00Z,0,0.0
19.55,19.55,19.55,0,19.55,2016-01-06T05:00:00Z,0,0.0
19.55,19.55,19.55,0,19.55,2016-01-07T05:00:00Z,0,0.0
19.55,19.55,19.55,0,19.55,2016-01-08T05:00:00Z,0,0.0
19.55,19.55,19.55,0,19.55,2016-01-11T05:00:00Z,0,0.0
19.55,19.55,19.55,0,19.55,2016-01-12T05:00:00Z,0,0.0
17.84,17.84,17.84,3,17.84,2016-01-13T05:00:00Z,160,17.84
17.84,17.84,17.84,0,17.84,2016-01-14T05:00:00Z,0,0.0
17.76,18.0,17.76,18,18.0,2016-01-15T05:00:00Z,1248,17.83
17.78,17.84,17.78,3,17.84,2016-01-19T05:00:00Z,220,17.81
17.78,17.78,17.78,0,17.78,2016-01-20T05:00:00Z,0,0.0
18.77,18.77,18.77,3,18.77,2016-01-21T05:00:00Z,185,18.77
18.77,18.77,18.77,0,18.77,2016-01-22T05:00:00Z,0,0.0
18.72,18.72,18.72,8,18.72,2016-01-25T05:00:00Z,321,18.72
18.72,18.72,18.72,0,18.72,2016-01-26T05:00:00Z,0,0.0
18.72,18.72,18.72,0,18.72,2016-01-27T05:00:00Z,0,0.0
17.29,17.29,17.29,8,17.29,2016-01-28T05:00:00Z,882,17.29
18.24,18.24,18.24,26,18.24,2016-01-29T05:00:00Z,4033,18.24
18.24,18.24,18.24,0,18.24,2016-02-01T05:00:00Z,0,0.0
18.24,18.24,18.24,0,18.24,2016-02-02T05:00:00Z,0,0.0
18.71,18.71,18.24,7,18.24,2016-02-03T05:00:00Z,3157,18.4
18.71,18.71,18.71,0,18.71,2016-02-04T05:00:00Z,0,0.0
18.71,18.71,18.71,0,18.71,2016-02-05T05:00:00Z,0,0.0
18.71,18.71,18.71,0,18.71,2016-02-08T05:00:00Z,0,0.0
18.71,18.71,18.71,0,18.71,2016-02-09T05:00:00Z,0,0.0
18.71,18.71,18.71,0,18.71,2016-02-10T05:00:00Z,0,0.0
18.71,18.71,18.71,0,18.71,2016-02-11T05:00:00Z,0,0.0
17.93,17.93,17.93,4,17.93,2016-02-12T05:00:00Z,146,17.93
17.93,17.93,17.93,0,17.93,2016-02-16T05:00:00Z,0,0.0
