c,h,l,n,o,t,v,vw
7.49,7.58,5.75,51296,6.7,2021-07-21T04:00:00Z,11836353,7.029027
5.74,6.72,5.41,21581,6.72,2021-07-22T04:00:00Z,3898661,6.103756
5.8,6.15,5.29,6858,5.4,2021-07-23T04:00:00Z,1507810,5.704564
5.57,5.75,5.1,2770,5.75,2021-07-26T04:00:00Z,511175,5.447273
4.83,5.47,4.8,2227,5.4,2021-07-27T04:00:00Z,377228,4.998349
4.76,5.0299,4.63,1376,4.9,2021-07-28T04:00:00Z,244043,4.815169
4.98,5.521,4.76,2148,4.76,2021-07-29T04:00:00Z,499513,5.164223
5.0,5.17,4.9,606,4.901,2021-07-30T04:00:00Z,106058,4.983315
4.88,5.0401,4.88,499,5.04,2021-08-02T04:00:00Z,68915,4.918404
4.5,4.87,4.4,1909,4.87,2021-08-03T04:00:00Z,404106,4.569261
4.37,4.57,4.31,1124,4.57,2021-08-04T04:00:00Z,207691,4.393342
4.55,4.57,4.25,671,4.37,2021-08-05T04:00:00Z,79784,4.428356
4.54,4.57,4.4,273,4.56,2021-08-06T04:00:00Z,33749,4.495734
4.53,4.6,4.3301,439,4.5,2021-08-09T04:00:00Z,76607,4.501894
4.85,5.0965,4.45,1062,4.48,2021-08-10T04:00:00Z,200749,4.721553
4.72,4.9,4.6,527,4.74,2021-08-11T04:00:00Z,112145,4.765129
4.5501,4.73,4.45,381,4.73,2021-08-12T04:00:00Z,36434,4.533339
4.6,4.665,4.4,390,4.665,2021-08-13T04:00:00Z,42246,4.4894
4.37,4.4393,4.266,493,4.4,2021-08-16T04:00:00Z,68860,4.342122
4.32,4.34,4.25,257,4.33,2021-08-17T04:00:00Z,39996,4.295497
4.4101,4.64,4.2,814,4.25,2021-08-18T04:00:00Z,100717,4.420713
4.1,4.3833,4.0883,583,4.31,2021-08-19T04:00:00Z,71494,4.241552
4.17,4.44,4.01,727,4.06,2021-08-20T04:00:00Z,150205,4.231057
4.71,4.77,4.06,1610,4.29,2021-08-23T04:00:00Z,354583,4.56737
4.41,4.89,4.2,2312,4.71,2021-08-24T04:00:00Z,493886,4.654909
4.335,4.53,4.27,561,4.38,2021-08-25T04:00:00Z,103050,4.426355
4.35,4.4331,4.2301,398,4.32,2021-08-26T04:00:00Z,45962,4.319426
4.35,4.3844,4.25,198,4.36,2021-08-27T04:00:00Z,23835,4.324524
4.39,4.41,4.22,290,4.25,2021-08-30T04:00:00Z,52659,4.284018
4.32,4.37,4.2591,257,4.337,2021-08-31T04:00:00Z,50708,4.309046
4.25,4.355,4.24,360,4.32,2021-09-01T04:00:00Z,42885,4.280993
4.23,4.44,4.16,287,4.2,2021-09-02T04:00:00Z,87414,4.280813
4.18,4.3499,4.16,249,4.3499,2021-09-03T04:00:00Z,22697,4.225727
4.475,4.53,4.05,1299,4.23,2021-09-07T04:00:00Z,282869,4.335808
4.55,4.99,4.3201,2382,4.48,2021-09-08T04:00:00Z,613528,4.661553
4.47,4.599,4.4001,330,4.5,2021-09-09T04:00:00Z,51510,4.502078
4.36,4.505,4.18,549,4.44,2021-09-10T04:00:00Z,84821,4.357545
4.35,4.41,4.27,169,4.33,2021-09-13T04:00:00Z,28075,4.309349
3.97,4.35,3.9,671,4.29,2021-09-14T04:00:00Z,82198,4.116534
3.98,4.13,3.9503,430,4.02,2021-09-15T04:00:00Z,70138,4.03889
3.92,4.0856,3.83,594,4.03,2021-09-16T04:00:00Z,63555,3.923866
3.58,4.0399,3.58,579,3.92,2021-09-17T04:00:00Z,107824,3.691469
3.41,3.64,3.39,895,3.58,2021-09-20T04:00:00Z,101819,3.483535
3.56,3.68,3.47,473,3.49,2021-09-21T04:00:00Z,72122,3.545953
3.47,3.65,3.4138,445,3.6,2021-09-22T04:00:00Z,53729,3.535564
3.73,3.73,3.51,244,3.51,2021-09-23T04:00:00Z,25161,3.661354
3.76,3.79,3.61,159,3.61,2021-09-24T04:00:00Z,10079,3.671399
3.74,3.94,3.66,401,3.78,2021-09-27T04:00:00Z,50316,3.78767
3.56,3.73,3.54,680,3.73,2021-09-28T04:00:00Z,51117,3.576643
3.63,3.75,3.535,376,3.58,2021-09-29T04:00:00Z,30027,3.641351
3.59,3.77,3.35,886,3.69,2021-09-30T04:00:00Z,251259,3.510648
