c,h,l,n,o,t,v,vw
60.15,60.24,59.69,333,59.9,2016-01-04T05:00:00Z,64385,59.91
59.53,59.72,59.4,257,59.51,2016-01-05T05:00:00Z,41638,59.54
60.22,60.35,60.0,217,60.14,2016-01-06T05:00:00Z,45362,60.17
60.41,60.44,59.95,242,60.32,2016-01-07T05:00:00Z,28750,60.23
60.62,60.72,60.1,468,60.22,2016-01-08T05:00:00Z,103591,60.42
60.06,60.33,59.98,255,60.06,2016-01-11T05:00:00Z,64954,60.12
60.86,61.08,60.1,232,60.18,2016-01-12T05:00:00Z,51291,60.64
61.43,61.6,60.61,267,60.76,2016-01-13T05:00:00Z,50962,61.04
60.89,61.4,60.68,480,61.21,2016-01-14T05:00:00Z,99285,61.13
61.73,61.84,61.43,648,61.6,2016-01-15T05:00:00Z,202612,61.7
61.64,61.87,61.41,389,61.47,2016-01-19T05:00:00Z,198396,61.71
62.2,62.75,62.08,741,62.32,2016-01-20T05:00:00Z,157182,62.46
61.78,62.4,61.73,377,62.3,2016-01-21T05:00:00Z,162576,62.0
61.62,61.67,61.19,3278,61.35,2016-01-22T05:00:00Z,630639,61.54
61.96,62.01,61.73,260,61.86,2016-01-25T05:00:00Z,42299,61.85
61.99,62.05,61.77,451,61.86,2016-01-26T05:00:00Z,127505,61.91
61.93,61.99,61.48,207,61.78,2016-01-27T05:00:00Z,30814,61.74
62.0,62.04,61.65,278,61.68,2016-01-28T05:00:00Z,59848,61.91
62.48,62.75,62.34,387,62.53,2016-01-29T05:00:00Z,102314,62.49
62.34,62.5,62.17,633,62.35,2016-02-01T05:00:00Z,192364,62.33
63.35,63.36,62.93,494,62.97,2016-02-02T05:00:00Z,158479,63.07
63.0,63.78,62.92,429,63.03,2016-02-03T05:00:00Z,97616,63.2
63.27,63.27,62.78,262,63.01,2016-02-04T05:00:00Z,547078,62.98
63.34,63.37,62.75,314,62.89,2016-02-05T05:00:00Z,82289,62.99
64.57,64.58,63.71,595,63.71,2016-02-08T05:00:00Z,128613,64.32
64.65,64.79,64.38,458,64.79,2016-02-09T05:00:00Z,132031,64.53
65.12,65.12,64.34,334,64.58,2016-02-10T05:00:00Z,191980,64.78
65.63,66.21,65.26,852,65.88,2016-02-11T05:00:00Z,187296,65.78
64.61,65.3,64.26,540,65.05,2016-02-12T05:00:00Z,220710,64.61
63.97,64.13,63.74,489,64.07,2016-02-16T05:00:00Z,267646,64.02
63.55,63.74,63.26,299,63.69,2016-02-17T05:00:00Z,90077,63.49
64.27,64.27,63.56,223,63.56,2016-02-18T05:00:00Z,46140,63.88
64.3,64.66,64.18,334,64.27,2016-02-19T05:00:00Z,529102,64.4
64.26,64.36,64.16,355,64.34,2016-02-22T05:00:00Z,45870,64.23
64.52,64.58,63.73,347,63.75,2016-02-23T05:00:00Z,70387,64.18
64.45,65.37,64.26,725,64.97,2016-02-24T05:00:00Z,128305,64.91
64.67,65.03,64.45,629,64.54,2016-02-25T05:00:00Z,108027,64.75
64.06,64.18,63.87,356,63.99,2016-02-26T05:00:00Z,94623,64.04
64.23,64.34,64.04,349,64.04,2016-02-29T05:00:00Z,183858,64.09
63.28,64.34,63.19,504,64.34,2016-03-01T05:00:00Z,129227,63.5
63.42,63.49,63.12,649,63.16,2016-03-02T05:00:00Z,127121,63.29
63.66,63.86,63.37,210,63.52,2016-03-03T05:00:00Z,44320,63.61
63.3,63.54,62.88,416,63.36,2016-03-04T05:00:00Z,83610,63.1
63.25,63.27,63.04,260,63.21,2016-03-07T05:00:00Z,48032,63.16
63.98,64.38,63.91,237,64.07,2016-03-08T05:00:00Z,46562,64.13
63.56,63.76,63.36,313,63.52,2016-03-09T05:00:00Z,70056,63.54
63.31,63.69,62.95,291,63.64,2016-03-10T05:00:00Z,51620,63.25
62.63,63.38,62.63,356,63.38,2016-03-11T05:00:00Z,69825,62.94
62.93,63.15,62.83,225,62.92,2016-03-14T04:00:00Z,40085,62.95
62.93,63.28,62.82,334,63.22,2016-03-15T04:00:00Z,337180,62.99
63.08,63.27,62.71,296,62.81,2016-03-16T04:00:00Z,53950,62.94
63.44,63.63,63.22,245,63.24,2016-03-17T04:00:00Z,41598,63.42
63.53,63.7,63.36,265,63.49,2016-03-18T04:00:00Z,83278,63.52
63.07,63.31,62.9,368,63.15,2016-03-21T04:00:00Z,94416,63.11
63.05,63.46,62.96,192,63.42,2016-03-22T04:00:00Z,26807,63.27
63.72,63.82,63.13,208,63.13,2016-03-23T04:00:00Z,78165,63.57
63.69,64.22,63.37,435,64.19,2016-03-24T04:00:00Z,105656,63.63
63.85,63.96,63.59,235,63.64,2016-03-28T04:00:00Z,50184,63.77
64.39,64.39,63.87,300,64.09,2016-03-29T04:00:00Z,38743,64.16
63.87,63.97,63.47,315,63.92,2016-03-30T04:00:00Z,42311,63.8
64.24,64.31,63.89,322,63.92,2016-03-31T04:00:00Z,79546,64.12
64.43,64.58,64.04,346,64.48,2016-04-01T04:00:00Z,93364,64.34
64.44,64.52,64.21,471,64.39,2016-04-04T04:00:00Z,284523,64.41
65.09,65.16,64.87,538,65.02,2016-04-05T04:00:00Z,131554,65.02
64.66,65.0,64.44,207,64.75,2016-04-06T04:00:00Z,49994,64.64
65.42,65.46,64.97,260,65.12,2016-04-07T04:00:00Z,144063,65.29
65.05,65.15,64.84,358,65.1,2016-04-08T04:00:00Z,100795,65.0
64.97,65.05,64.62,273,64.72,2016-04-11T04:00:00Z,75213,64.89
64.57,64.77,64.35,356,64.55,2016-04-12T04:00:00Z,141241,64.52
64.75,64.85,64.36,462,64.36,2016-04-13T04:00:00Z,115222,64.57
64.45,64.71,64.35,200,64.52,2016-04-14T04:00:00Z,33107,64.52
64.87,65.11,64.68,359,64.68,2016-04-15T04:00:00Z,81689,64.92
65.21,65.21,64.42,319,64.72,2016-04-18T04:00:00Z,68728,64.64
64.53,64.66,64.25,480,64.59,2016-04-19T04:00:00Z,144722,64.49
63.88,64.84,63.79,362,64.6,2016-04-20T04:00:00Z,56610,64.4
63.51,63.62,63.3,345,63.38,2016-04-21T04:00:00Z,71409,63.49
63.38,63.56,63.28,390,63.53,2016-04-22T04:00:00Z,122288,63.46
63.11,63.36,63.11,210,63.18,2016-04-25T04:00:00Z,58121,63.22
62.87,63.06,62.76,463,63.01,2016-04-26T04:00:00Z,114328,62.87
63.37,63.49,63.0,3293,63.12,2016-04-27T04:00:00Z,722020,63.11
63.7,64.4,63.24,481,63.28,2016-04-28T04:00:00Z,103511,63.42
64.04,64.04,63.29,239,63.38,2016-04-29T04:00:00Z,103779,63.64
63.52,63.78,63.22,436,63.58,2016-05-02T04:00:00Z,115117,63.47
63.99,64.23,63.91,386,63.96,2016-05-03T04:00:00Z,81591,64.05
64.27,64.3,63.81,722,64.11,2016-05-04T04:00:00Z,109030,64.09
64.73,64.73,64.12,246,64.25,2016-05-05T04:00:00Z,53350,64.53
64.48,64.63,64.35,266,64.62,2016-05-06T04:00:00Z,43802,64.49
64.63,64.63,64.38,342,64.45,2016-05-09T04:00:00Z,52231,64.54
64.65,64.72,64.5,349,64.63,2016-05-10T04:00:00Z,90159,64.64
65.04,65.12,64.51,506,64.63,2016-05-11T04:00:00Z,103272,64.85
64.71,64.72,64.5,206,64.51,2016-05-12T04:00:00Z,43776,64.62
65.33,65.33,64.85,4356,64.9,2016-05-13T04:00:00Z,1332880,65.15
64.75,65.0,64.7,493,65.0,2016-05-16T04:00:00Z,103360,64.87
64.9,65.08,64.82,456,64.84,2016-05-17T04:00:00Z,76376,64.95
64.03,64.67,63.77,466,64.62,2016-05-18T04:00:00Z,95103,64.15
64.23,64.43,64.05,433,64.05,2016-05-19T04:00:00Z,85032,64.24
64.29,64.49,64.04,316,64.06,2016-05-20T04:00:00Z,52083,64.23
64.42,64.56,64.19,192,64.42,2016-05-23T04:00:00Z,37821,64.37
64.14,64.26,63.9,217,64.21,2016-05-24T04:00:00Z,47266,64.09
63.98,64.31,63.9,198,64.13,2016-05-25T04:00:00Z,42472,64.12
64.35,64.44,64.11,318,64.11,2016-05-26T04:00:00Z,53787,64.28
64.31,64.38,64.08,270,64.29,2016-05-27T04:00:00Z,41834,64.2
64.46,64.46,63.78,213,63.8,2016-05-31T04:00:00Z,43874,64.1
64.58,64.94,64.4,339,64.67,2016-06-01T04:00:00Z,54819,64.62
64.97,65.11,64.67,405,64.75,2016-06-02T04:00:00Z,111976,65.03
65.78,65.83,65.59,397,65.71,2016-06-03T04:00:00Z,78543,65.73
65.71,65.71,65.35,345,65.66,2016-06-06T04:00:00Z,69815,65.53
65.6,65.77,65.55,290,65.61,2016-06-07T04:00:00Z,45041,65.63
65.97,65.99,65.6,499,65.72,2016-06-08T04:00:00Z,88012,65.85
66.24,66.43,66.19,303,66.4,2016-06-09T04:00:00Z,41752,66.3
66.49,66.87,66.36,470,66.6,2016-06-10T04:00:00Z,137814,66.57
67.01,67.01,66.52,381,66.75,2016-06-13T04:00:00Z,76104,66.7
66.85,67.25,66.75,447,67.25,2016-06-14T04:00:00Z,69795,66.94
67.09,67.27,66.88,378,66.93,2016-06-15T04:00:00Z,95229,67.05
67.37,67.87,67.22,857,67.48,2016-06-16T04:00:00Z,123273,67.49
66.99,67.3,66.77,335,67.25,2016-06-17T04:00:00Z,46945,66.96
66.24,66.46,66.22,260,66.33,2016-06-20T04:00:00Z,38336,66.33
66.11,66.48,66.03,330,66.32,2016-06-21T04:00:00Z,71057,66.26
66.21,66.22,65.86,220,65.99,2016-06-22T04:00:00Z,50853,66.06
65.56,65.87,65.39,444,65.58,2016-06-23T04:00:00Z,82814,65.52
67.06,67.57,66.87,627,67.57,2016-06-24T04:00:00Z,130305,67.1
68.7,68.84,68.28,651,68.32,2016-06-27T04:00:00Z,196078,68.59
68.77,68.95,68.54,471,68.77,2016-06-28T04:00:00Z,96740,68.77
68.25,69.03,68.22,346,68.86,2016-06-29T04:00:00Z,56956,68.75
68.43,68.94,68.2,290,68.43,2016-06-30T04:00:00Z,45594,68.52
69.4,69.55,68.71,427,69.55,2016-07-01T04:00:00Z,85404,69.21
70.23,70.48,69.91,718,69.97,2016-07-05T04:00:00Z,217395,70.22
70.31,70.55,70.03,483,70.43,2016-07-06T04:00:00Z,80620,70.3
70.39,70.51,69.97,380,70.09,2016-07-07T04:00:00Z,64547,70.21
70.8,70.81,70.22,377,70.48,2016-07-08T04:00:00Z,92085,70.61
70.19,70.73,70.1,594,70.53,2016-07-11T04:00:00Z,168432,70.28
69.2,69.55,68.96,651,69.31,2016-07-12T04:00:00Z,136181,69.17
69.89,69.89,69.51,437,69.67,2016-07-13T04:00:00Z,121351,69.76
69.1,69.1,68.69,424,68.79,2016-07-14T04:00:00Z,52543,68.88
68.36,68.66,68.21,692,68.61,2016-07-15T04:00:00Z,159145,68.38
68.24,68.71,68.06,560,68.7,2016-07-18T04:00:00Z,114067,68.33
68.76,68.76,68.36,340,68.61,2016-07-19T04:00:00Z,64147,68.62
68.42,68.44,68.1,554,68.27,2016-07-20T04:00:00Z,90523,68.26
68.49,68.49,67.7,402,67.78,2016-07-21T04:00:00Z,74266,68.05
68.57,68.74,68.1,455,68.1,2016-07-22T04:00:00Z,77057,68.47
68.5,68.74,68.45,1572,68.6,2016-07-25T04:00:00Z,338609,68.6
68.62,68.83,68.26,267,68.83,2016-07-26T04:00:00Z,53019,68.62
69.24,70.03,68.8,6365,68.86,2016-07-27T04:00:00Z,1843234,69.38
69.33,69.47,68.94,824,69.03,2016-07-28T04:00:00Z,311701,69.18
