c,h,l,n,o,t,v,vw
11.55,11.7,11.41,123,11.41,2017-03-22T04:00:00Z,46157,11.51
11.62,11.68,11.49,144,11.55,2017-03-23T04:00:00Z,55365,11.55
11.63,11.77,11.57,194,11.65,2017-03-24T04:00:00Z,39082,11.64
11.69,11.73,11.6,140,11.73,2017-03-27T04:00:00Z,34967,11.67
11.64,11.72,11.62,189,11.68,2017-03-28T04:00:00Z,47011,11.66
11.7,11.7,11.62,111,11.69,2017-03-29T04:00:00Z,35732,11.67
11.75,11.8,11.68,113,11.68,2017-03-30T04:00:00Z,29148,11.75
11.72,11.75,11.7,104,11.75,2017-03-31T04:00:00Z,24190,11.72
11.72,11.75,11.7,81,11.71,2017-04-03T04:00:00Z,13584,11.73
11.73,11.73,11.6,74,11.73,2017-04-04T04:00:00Z,16915,11.7
11.73,11.79,11.66,96,11.7,2017-04-05T04:00:00Z,23371,11.72
11.73,11.83,11.71,113,11.83,2017-04-06T04:00:00Z,20898,11.75
11.73,11.77,11.72,29,11.76,2017-04-07T04:00:00Z,6319,11.75
11.76,11.79,11.71,256,11.73,2017-04-10T04:00:00Z,33054,11.74
11.7,11.77,11.7,159,11.73,2017-04-11T04:00:00Z,33195,11.73
11.82,11.86,11.74,97,11.85,2017-04-12T04:00:00Z,35654,11.83
11.89,11.9,11.76,57,11.77,2017-04-13T04:00:00Z,14451,11.84
11.96,12.04,11.78,69,11.92,2017-04-17T04:00:00Z,20596,11.92
11.95,11.99,11.91,35,11.93,2017-04-18T04:00:00Z,8261,11.95
11.89,12.0,11.88,24,12.0,2017-04-19T04:00:00Z,12110,11.94
11.9,11.93,11.87,39,11.89,2017-04-20T04:00:00Z,9043,11.91
11.87,11.91,11.85,52,11.9,2017-04-21T04:00:00Z,11051,11.88
11.85,11.85,11.8,70,11.85,2017-04-24T04:00:00Z,21190,11.83
11.88,11.89,11.85,44,11.85,2017-04-25T04:00:00Z,10432,11.87
12.0,12.0,11.88,58,11.88,2017-04-26T04:00:00Z,22777,11.95
12.04,12.04,11.92,13,12.0,2017-04-27T04:00:00Z,7365,11.99
11.92,11.99,11.92,6,11.93,2017-04-28T04:00:00Z,2660,11.95
12.06,12.06,11.91,44,12.01,2017-05-01T04:00:00Z,13116,11.98
12.12,12.19,12.01,58,12.06,2017-05-02T04:00:00Z,14493,12.08
12.07,12.16,11.97,35,11.97,2017-05-03T04:00:00Z,9429,12.07
12.02,12.04,12.01,31,12.01,2017-05-04T04:00:00Z,9372,12.03
11.99,12.04,11.97,45,12.0,2017-05-05T04:00:00Z,9915,11.99
12.08,12.08,11.97,25,11.98,2017-05-08T04:00:00Z,10459,12.03
12.04,12.08,12.0,37,12.02,2017-05-09T04:00:00Z,7294,12.06
12.08,12.08,12.04,11,12.06,2017-05-10T04:00:00Z,5077,12.06
11.98,12.13,11.91,148,12.08,2017-05-11T04:00:00Z,32846,11.97
12.04,12.06,11.91,50,11.95,2017-05-12T04:00:00Z,10585,12.0
12.0,12.06,11.93,41,12.03,2017-05-15T04:00:00Z,9043,12.0
12.0,12.04,11.9,80,12.04,2017-05-16T04:00:00Z,15685,11.99
11.97,11.98,11.95,13,11.95,2017-05-17T04:00:00Z,5075,11.96
11.95,11.96,11.93,65,11.95,2017-05-18T04:00:00Z,16345,11.95
11.95,11.98,11.94,57,11.97,2017-05-19T04:00:00Z,12932,11.96
11.94,12.05,11.92,47,12.05,2017-05-22T04:00:00Z,9565,11.94
11.94,11.95,11.85,137,11.89,2017-05-23T04:00:00Z,20587,11.91
11.93,11.94,11.91,30,11.94,2017-05-24T04:00:00Z,6690,11.94
11.92,11.95,11.89,55,11.93,2017-05-25T04:00:00Z,19530,11.94
12.09,12.13,11.9,56,11.9,2017-05-26T04:00:00Z,7242,11.99
11.94,12.09,11.89,67,12.09,2017-05-30T04:00:00Z,11417,11.98
11.95,11.99,11.9,25,11.98,2017-05-31T04:00:00Z,7255,11.94
12.0,12.0,11.94,115,11.97,2017-06-01T04:00:00Z,44964,11.96
12.11,12.12,11.95,83,11.95,2017-06-02T04:00:00Z,12440,12.05
