c,h,l,n,o,t,v,vw
122.89,123.87,121.035,21280,123.03,2016-01-04T05:00:00Z,2414985,122.320066
123.45,124.96,121.9,14301,123.89,2016-01-05T05:00:00Z,1424631,123.194953
122.23,123.17,119.51,16592,120.8,2016-01-06T05:00:00Z,1878037,121.881245
114.96,119.82,113.85,23709,119.01,2016-01-07T05:00:00Z,2545784,116.082172
110.71,117.11,110.55,19533,115.62,2016-01-08T05:00:00Z,1924355,112.804603
103.95,109.94,101.49,33076,109.88,2016-01-11T05:00:00Z,3365886,104.87031
103.64,108.71,98.87,32140,104.95,2016-01-12T05:00:00Z,3416100,102.442086
96.37,105.5,95.68,36157,104.3,2016-01-13T05:00:00Z,5865643,97.781407
101.91,103.95,94.68,37373,97.44,2016-01-14T05:00:00Z,3935393,100.682636
97.91,100.13,95.09,31293,98.15,2016-01-15T05:00:00Z,3561821,97.645313
94.99,101.46,92.57,27138,100.54,2016-01-19T05:00:00Z,2967835,96.041108
96.99,98.58,89.97,37619,93.33,2016-01-20T05:00:00Z,4397939,94.824252
95.07,98.84,94.84,25159,97.0615,2016-01-21T05:00:00Z,3220147,96.050528
94.71,97.81,93.65,23892,97.0,2016-01-22T05:00:00Z,2716259,95.451
92.12,95.17,92.01,23381,94.24,2016-01-25T05:00:00Z,2777599,93.254521
92.2,93.4308,90.47,22741,92.7,2016-01-26T05:00:00Z,2645417,92.019077
92.5,96.09,89.92,34716,92.35,2016-01-27T05:00:00Z,3759281,92.786295
92.76,94.09,81.98,65745,91.0,2016-01-28T05:00:00Z,8222966,88.36119
90.75,94.49,90.0,32232,92.72,2016-01-29T05:00:00Z,3846942,91.248689
92.39,93.99,89.75,28539,91.92,2016-02-01T05:00:00Z,3023527,91.765237
90.98,92.6795,89.43,30970,90.59,2016-02-02T05:00:00Z,3252087,91.128204
93.88,93.98,86.12,39116,91.54,2016-02-03T05:00:00Z,3359248,90.917506
91.72,96.35,90.71,27339,93.49,2016-02-04T05:00:00Z,2535859,92.658465
86.61,92.23,84.54,42017,89.78,2016-02-05T05:00:00Z,4801236,87.201155
82.0,85.85,79.81,35422,85.23,2016-02-08T05:00:00Z,4352434,82.028715
80.14,83.53,79.44,42546,80.25,2016-02-09T05:00:00Z,4265420,80.896604
81.73,84.0599,80.25,40918,82.26,2016-02-10T05:00:00Z,4230249,82.296512
79.71,81.17,78.51,32672,79.21,2016-02-11T05:00:00Z,4012032,79.936997
83.23,83.81,79.5,23590,81.94,2016-02-12T05:00:00Z,2964390,82.30234
85.37,85.849,83.01,20234,85.42,2016-02-16T05:00:00Z,2499993,84.83267
88.25,88.46,83.5,24429,86.07,2016-02-17T05:00:00Z,2418037,87.128662
86.64,88.47,85.755,26613,87.87,2016-02-18T05:00:00Z,2232701,87.123552
88.08,88.505,84.04,20091,85.99,2016-02-19T05:00:00Z,2208765,87.375363
89.0,91.6,87.85,17653,89.41,2016-02-22T05:00:00Z,1532155,89.11869
85.28,89.3,84.76,15078,88.06,2016-02-23T05:00:00Z,1880250,86.512284
86.77,87.09,82.44,20967,84.12,2016-02-24T05:00:00Z,1934581,85.375387
85.53,88.94,84.34,15164,87.33,2016-02-25T05:00:00Z,1473076,85.581193
87.0,87.93,85.3901,14679,86.44,2016-02-26T05:00:00Z,1495527,86.680052
85.49,88.9692,84.6,17664,86.83,2016-02-29T05:00:00Z,1985480,85.761361
89.57,89.61,84.26,19363,86.13,2016-03-01T05:00:00Z,2114499,87.93953
92.52,93.42,88.745,27306,88.94,2016-03-02T05:00:00Z,2896483,91.928607
89.45,93.0,89.1011,16616,92.25,2016-03-03T05:00:00Z,1658123,90.328008
88.36,90.19,87.92,19969,89.91,2016-03-04T05:00:00Z,1792116,88.765097
90.95,91.0,85.94,18077,87.36,2016-03-07T05:00:00Z,1774467,89.718636
86.91,90.89,85.05,25370,90.63,2016-03-08T05:00:00Z,2979277,86.940014
84.63,87.45,84.35,20075,87.45,2016-03-09T05:00:00Z,2290838,85.178109
82.28,85.43,81.16,27733,85.16,2016-03-10T05:00:00Z,2524004,82.734523
86.26,86.34,83.03,17069,83.82,2016-03-11T05:00:00Z,1837249,85.43886
85.59,86.96,83.98,18820,86.11,2016-03-14T04:00:00Z,2302561,85.526654
82.83,85.41,82.25,18167,84.55,2016-03-15T04:00:00Z,1840050,83.106244
79.3,83.3397,77.51,26737,82.06,2016-03-16T04:00:00Z,3092960,79.569283
79.18,80.09,75.9,24715,79.33,2016-03-17T04:00:00Z,2760993,78.159133
82.52,83.14,78.47,20812,79.74,2016-03-18T04:00:00Z,4894939,81.755004
84.02,84.75,81.52,17136,82.01,2016-03-21T04:00:00Z,2070198,83.972932
86.78,86.91,83.3136,16741,83.65,2016-03-22T04:00:00Z,1895241,86.185554
80.15,86.0,80.0,21619,86.0,2016-03-23T04:00:00Z,2314479,81.448846
80.58,82.19,78.25,17411,79.71,2016-03-24T04:00:00Z,2045708,80.471179
78.7,81.26,77.67,15314,80.85,2016-03-28T04:00:00Z,1663695,79.048348
79.24,79.37,76.79,18844,78.49,2016-03-29T04:00:00Z,1841808,78.162858
78.4,81.99,77.69,16256,80.11,2016-03-30T04:00:00Z,1801709,79.170432
79.49,82.1,77.81,27861,78.72,2016-03-31T04:00:00Z,3407720,80.118056
79.15,79.25,75.92,34016,79.02,2016-04-01T04:00:00Z,3767943,77.850563
82.87,84.4,79.19,29310,79.81,2016-04-04T04:00:00Z,2828908,82.782906
84.16,86.475,81.52,28821,82.54,2016-04-05T04:00:00Z,2987593,84.838872
91.31,91.76,83.704,31098,83.82,2016-04-06T04:00:00Z,3592140,89.821308
86.3,91.78,85.931,27239,90.31,2016-04-07T04:00:00Z,2894222,87.70013
85.25,88.0,84.18,15922,87.54,2016-04-08T04:00:00Z,1632216,85.675212
84.47,86.79,84.06,14312,85.96,2016-04-11T04:00:00Z,1553121,84.997916
83.37,85.19,82.54,19373,84.79,2016-04-12T04:00:00Z,1954068,83.700709
85.18,85.64,83.2,19040,84.04,2016-04-13T04:00:00Z,2219419,84.461494
87.08,88.08,84.73,14303,85.13,2016-04-14T04:00:00Z,1367022,86.656897
81.75,87.6,81.02,34471,87.42,2016-04-15T04:00:00Z,4441793,82.498801
83.22,85.9,81.42,21918,81.42,2016-04-18T04:00:00Z,2590969,83.868175
83.21,84.78,82.61,14619,84.0,2016-04-19T04:00:00Z,1930370,83.49995
84.11,84.9,83.25,13543,83.72,2016-04-20T04:00:00Z,1717564,84.123468
86.81,87.49,84.1,18659,84.39,2016-04-21T04:00:00Z,1859523,85.918663
86.8,87.38,84.08,15144,86.36,2016-04-22T04:00:00Z,1415251,86.047184
85.66,87.45,85.02,14271,86.26,2016-04-25T04:00:00Z,1638701,85.79197
84.14,86.015,83.29,14121,85.8,2016-04-26T04:00:00Z,1886298,84.107128
84.5,85.76,81.78,24445,83.79,2016-04-27T04:00:00Z,2705976,83.93766
86.75,90.25,78.84,47087,81.24,2016-04-28T04:00:00Z,5629171,85.894433
84.34,86.23,83.4,29606,85.9,2016-04-29T04:00:00Z,3085472,84.517872
83.0,84.7,80.62,22118,84.24,2016-05-02T04:00:00Z,2318208,82.047292
82.16,83.27,80.81,19948,82.18,2016-05-03T04:00:00Z,2265410,82.082775
80.63,82.91,80.31,19166,81.98,2016-05-04T04:00:00Z,2029031,80.977576
84.0,84.07,80.63,18432,81.41,2016-05-05T04:00:00Z,1904263,83.058508
85.54,85.66,82.95,21782,83.23,2016-05-06T04:00:00Z,2089034,84.739811
88.06,88.94,85.5101,17186,85.54,2016-05-09T04:00:00Z,2053507,87.849631
89.08,89.1,86.26,18940,88.58,2016-05-10T04:00:00Z,2191881,88.134826
83.63,89.07,83.53,16119,88.96,2016-05-11T04:00:00Z,1763275,85.738497
82.1,84.83,80.58,18906,84.24,2016-05-12T04:00:00Z,2141828,81.788237
81.38,83.03,81.06,11703,81.79,2016-05-13T04:00:00Z,1231334,81.581329
82.14,83.22,81.38,18120,81.64,2016-05-16T04:00:00Z,2310248,82.249346
80.71,82.488,80.41,19300,81.46,2016-05-17T04:00:00Z,2309038,81.120898
81.71,82.25,80.27,16889,80.27,2016-05-18T04:00:00Z,2020494,81.242023
81.01,82.29,80.25,16087,80.89,2016-05-19T04:00:00Z,1757695,80.889252
84.7,85.0,80.55,15927,81.03,2016-05-20T04:00:00Z,1834020,83.911424
84.42,85.6,83.3,12186,84.28,2016-05-23T04:00:00Z,1323058,84.558013
88.42,88.44,83.62,14048,83.7,2016-05-24T04:00:00Z,1589556,87.209826
89.56,89.73,88.1401,14639,88.99,2016-05-25T04:00:00Z,1678412,89.176221
89.19,89.93,87.24,9588,89.05,2016-05-26T04:00:00Z,1507545,88.873938
90.38,90.49,88.37,10253,89.28,2016-05-27T04:00:00Z,1210224,89.939768
93.15,93.6,90.61,16309,90.62,2016-05-31T04:00:00Z,1971011,92.959143
93.9,94.35,92.68,13600,92.9,2016-06-01T04:00:00Z,1629007,93.663023
95.82,95.88,93.11,12160,93.64,2016-06-02T04:00:00Z,1437934,95.159374
93.96,95.69,92.62,13752,95.62,2016-06-03T04:00:00Z,1566431,93.866215
96.09,96.49,92.47,12447,94.49,2016-06-06T04:00:00Z,1338567,95.480552
94.77,95.85,93.56,16589,95.22,2016-06-07T04:00:00Z,1949264,94.695265
94.59,96.0,93.42,13489,95.03,2016-06-08T04:00:00Z,1798595,94.943826
92.49,94.55,92.181,11192,94.0,2016-06-09T04:00:00Z,1251363,93.065374
91.49,93.08,90.82,12594,92.48,2016-06-10T04:00:00Z,1563188,91.618261
90.54,92.47,90.06,11667,91.24,2016-06-13T04:00:00Z,1339934,90.925558
91.37,91.65,89.52,11527,90.08,2016-06-14T04:00:00Z,1355166,90.686874
90.84,91.98,90.4,9384,91.35,2016-06-15T04:00:00Z,1202029,91.035507
90.41,90.68,88.58,12548,89.95,2016-06-16T04:00:00Z,1352439,89.805434
86.73,91.24,85.88,19340,90.46,2016-06-17T04:00:00Z,3289570,87.569796
86.72,89.01,86.52,12906,87.74,2016-06-20T04:00:00Z,1378783,87.385602
85.28,87.64,83.5,17005,86.8,2016-06-21T04:00:00Z,2018916,84.842218
85.22,89.17,85.09,20022,85.2,2016-06-22T04:00:00Z,1994605,86.408261
88.2,88.28,85.04,14004,86.21,2016-06-23T04:00:00Z,1581245,87.258082
81.9,85.79,81.82,22857,83.58,2016-06-24T04:00:00Z,2587986,83.092423
79.84,82.09,79.59,20359,81.17,2016-06-27T04:00:00Z,2057472,80.745626
83.44,83.55,80.54,14740,80.54,2016-06-28T04:00:00Z,1684521,82.832389
85.0,85.94,82.69,16076,83.85,2016-06-29T04:00:00Z,1888763,84.837945
86.02,86.64,84.08,14429,85.23,2016-06-30T04:00:00Z,1679824,85.890242
87.74,88.46,85.17,12165,85.67,2016-07-01T04:00:00Z,1505535,87.487171
86.51,87.33,85.53,8979,87.11,2016-07-05T04:00:00Z,1026469,86.39217
89.66,89.9,85.9175,15479,86.16,2016-07-06T04:00:00Z,1940056,89.14235
90.05,90.8305,89.0,12870,89.69,2016-07-07T04:00:00Z,1307255,89.918876
88.96,90.43,88.65,16952,90.08,2016-07-08T04:00:00Z,1910452,89.305913
90.1,90.82,89.27,13055,90.09,2016-07-11T04:00:00Z,1512319,90.144191
89.63,91.45,89.135,15659,91.1,2016-07-12T04:00:00Z,1691121,90.255937
