c,h,l,n,o,t,v,vw
6.3,7.36,5.5,154,7.04,2018-03-29T04:00:00Z,47110,6.318246
4.8247,5.75,4.75,252,5.75,2018-04-02T04:00:00Z,38749,5.272927
4.9,5.32,4.85,186,4.9,2018-04-03T04:00:00Z,27936,4.963194
4.91,5.75,4.75,257,5.75,2018-04-04T04:00:00Z,75761,5.19467
5.4838,5.6,4.96,61,4.96,2018-04-05T04:00:00Z,28246,5.391189
5.6048,5.61,5.5,28,5.5,2018-04-06T04:00:00Z,9841,5.570877
5.6562,5.6622,5.6,25,5.6058,2018-04-09T04:00:00Z,12720,5.610838
5.58,5.68,5.58,12,5.68,2018-04-10T04:00:00Z,2554,5.647182
5.6,5.6715,5.6,28,5.65,2018-04-11T04:00:00Z,6201,5.636127
5.6305,5.65,5.6,32,5.6499,2018-04-12T04:00:00Z,9992,5.643339
5.7116,5.75,5.651,23,5.67,2018-04-13T04:00:00Z,8976,5.692159
5.68,5.7,5.6,12,5.7,2018-04-16T04:00:00Z,5144,5.680872
5.6785,5.7,5.6422,28,5.671,2018-04-17T04:00:00Z,7691,5.677187
5.65,5.67,5.6001,16,5.67,2018-04-18T04:00:00Z,3508,5.630731
5.567,5.68,5.5501,22,5.68,2018-04-19T04:00:00Z,6643,5.588784
5.6,5.6229,5.5,3,5.5,2018-04-20T04:00:00Z,582,5.560979
5.5895,5.5895,5.2044,5,5.2044,2018-04-23T04:00:00Z,970,5.279801
5.3974,5.6,5.3024,8,5.6,2018-04-24T04:00:00Z,3950,5.494964
5.22,5.3,5.01,24,5.2598,2018-04-25T04:00:00Z,7240,5.144949
5.1701,5.18,5.112,15,5.112,2018-04-26T04:00:00Z,3094,5.163229
5.4895,5.5,5.2,40,5.2,2018-04-27T04:00:00Z,11088,5.444681
5.4898,5.5898,5.4,12,5.56,2018-04-30T04:00:00Z,4230,5.524591
5.1969,5.4334,5.1969,9,5.4,2018-05-01T04:00:00Z,1758,5.396112
5.15,5.15,5.15,1,5.15,2018-05-02T04:00:00Z,343,5.15
5.15,5.15,5.15,0,5.15,2018-05-03T04:00:00Z,0,0.0
5.4772,5.5,5.3205,22,5.3205,2018-05-04T04:00:00Z,7518,5.461711
5.2351,5.5,5.2351,4,5.4916,2018-05-07T04:00:00Z,2495,5.460893
5.3042,5.418,5.255,8,5.418,2018-05-08T04:00:00Z,1600,5.310375
5.471,5.55,5.4031,27,5.4031,2018-05-09T04:00:00Z,4556,5.47219
