c,h,l,n,o,t,v,vw
25.5,25.98,23.2,400,24.9001,2022-04-04T04:00:00Z,61860,25.269816
24.41,26.22,24.25,890,25.75,2022-04-05T04:00:00Z,93571,25.01799
23.98,24.25,23.37,555,24.13,2022-04-06T04:00:00Z,63434,23.876253
23.12,24.26,22.53,2356,24.26,2022-04-07T04:00:00Z,272978,23.125513
24.47,24.53,22.58,6011,22.58,2022-04-08T04:00:00Z,646531,24.296191
24.78,26.26,23.5,265036,24.075,2022-04-11T04:00:00Z,70233348,24.536033
24.68,25.33,23.75,218411,24.37,2022-04-12T04:00:00Z,42589376,24.423231
26.0,27.5,24.21,295216,24.665,2022-04-13T04:00:00Z,76051070,26.220987
24.88,26.58,24.76,193973,25.89,2022-04-14T04:00:00Z,41450125,25.422749
24.16,24.8,23.515,187319,24.53,2022-04-18T04:00:00Z,31022542,24.016131
24.49,24.68,23.5,182851,23.66,2022-04-19T04:00:00Z,35017326,24.051514
23.01,23.56,22.7,241538,23.49,2022-04-20T04:00:00Z,43815807,23.162953
21.45,23.23,20.92,249467,22.645,2022-04-21T04:00:00Z,53127842,21.640567
20.57,21.91,20.37,159936,21.0,2022-04-22T04:00:00Z,25331521,20.874691
21.5,21.94,19.95,214851,20.06,2022-04-25T04:00:00Z,39206543,20.883709
19.83,20.96,19.63,206682,19.93,2022-04-26T04:00:00Z,35504833,20.130583
18.83,19.95,18.2,206938,19.86,2022-04-27T04:00:00Z,35573500,18.830877
18.35,19.42,17.89,161901,19.02,2022-04-28T04:00:00Z,24416768,18.443072
18.15,19.1993,18.085,125243,18.36,2022-04-29T04:00:00Z,26116257,18.456869
19.25,19.45,18.05,169025,18.15,2022-05-02T04:00:00Z,27824607,18.995518
19.27,19.68,18.68,133192,18.975,2022-05-03T04:00:00Z,21736671,19.283667
19.66,19.8,18.81,124798,19.37,2022-05-04T04:00:00Z,18849033,19.360686
18.88,20.08,18.5,147991,19.39,2022-05-05T04:00:00Z,22778895,19.060867
17.75,18.71,17.55,154927,18.55,2022-05-06T04:00:00Z,24103992,17.934243
17.1,17.84,16.86,137172,17.29,2022-05-09T04:00:00Z,21947205,17.171535
17.35,17.97,17.1,118266,17.33,2022-05-10T04:00:00Z,20364382,17.45957
16.62,17.84,16.59,102078,17.24,2022-05-11T04:00:00Z,19269589,17.013185
17.11,17.74,16.51,139446,16.51,2022-05-12T04:00:00Z,23702605,17.022923
18.1,18.25,17.17,117256,17.18,2022-05-13T04:00:00Z,15615312,17.94122
17.21,18.5,17.14,96820,17.92,2022-05-16T04:00:00Z,16991396,17.703786
18.36,18.36,17.58,129894,17.69,2022-05-17T04:00:00Z,21764405,18.106495
17.46,18.36,17.26,122767,18.03,2022-05-18T04:00:00Z,21028167,17.686791
17.5,17.87,17.2701,100256,17.35,2022-05-19T04:00:00Z,17196298,17.519219
17.74,18.025,17.15,116005,17.75,2022-05-20T04:00:00Z,21090897,17.584584
18.29,18.375,17.45,91528,18.0,2022-05-23T04:00:00Z,19676895,18.102599
16.86,17.89,16.73,130615,17.84,2022-05-24T04:00:00Z,25340409,17.030343
17.23,17.36,16.75,101570,16.91,2022-05-25T04:00:00Z,21149415,17.101145
17.98,18.04,17.24,82852,17.36,2022-05-26T04:00:00Z,16078840,17.801866
18.76,18.76,18.0,89488,18.01,2022-05-27T04:00:00Z,18406911,18.570579
18.45,18.7,18.01,94214,18.56,2022-05-31T04:00:00Z,41183526,18.426255
17.66,18.74,17.51,90131,18.49,2022-06-01T04:00:00Z,17516679,17.81102
18.0,18.06,17.345,88430,17.47,2022-06-02T04:00:00Z,14594065,17.835454
17.5,17.9,17.1811,83006,17.82,2022-06-03T04:00:00Z,15340724,17.489888
16.85,17.87,16.83,113273,17.82,2022-06-06T04:00:00Z,23131510,17.121258
17.17,17.17,16.33,105180,16.56,2022-06-07T04:00:00Z,20828501,16.913781
16.67,17.32,16.62,88917,17.03,2022-06-08T04:00:00Z,17651766,16.91544
15.63,16.56,15.61,118130,16.5,2022-06-09T04:00:00Z,24453015,15.978708
14.86,15.4,14.82,144079,15.37,2022-06-10T04:00:00Z,27258759,15.007313
14.03,14.48,13.715,148132,14.44,2022-06-13T04:00:00Z,30703900,14.023724
13.98,14.29,13.57,133375,14.17,2022-06-14T04:00:00Z,24396907,13.94699
14.85,15.13,14.05,137108,14.09,2022-06-15T04:00:00Z,24611152,14.745263
13.65,14.48,13.3,135303,14.33,2022-06-16T04:00:00Z,28273717,13.667779
14.22,14.5,13.5,114295,13.95,2022-06-17T04:00:00Z,52894901,14.169797
14.04,14.68,13.925,103205,14.56,2022-06-21T04:00:00Z,21441745,14.141982
13.97,14.295,13.76,79689,13.76,2022-06-22T04:00:00Z,16970220,14.04941
14.12,14.185,13.75,74188,14.17,2022-06-23T04:00:00Z,15860642,14.03747
14.28,14.61,14.2,85743,14.25,2022-06-24T04:00:00Z,49960144,14.309659
14.08,14.439,13.88,83562,14.38,2022-06-27T04:00:00Z,22430736,14.070408
13.66,14.68,13.57,103746,14.11,2022-06-28T04:00:00Z,26291162,13.931477
13.17,13.67,12.91,112863,13.64,2022-06-29T04:00:00Z,30964158,13.168173
13.42,13.67,12.765,112543,13.12,2022-06-30T04:00:00Z,28813608,13.315417
14.25,14.3,13.26,105703,13.3,2022-07-01T04:00:00Z,25172831,13.952015
14.44,14.485,13.475,92272,13.95,2022-07-05T04:00:00Z,22029183,14.17246
14.27,14.64,14.12,89382,14.43,2022-07-06T04:00:00Z,23642385,14.314415
14.52,14.7,14.2,84136,14.31,2022-07-07T04:00:00Z,16570064,14.505481
13.99,14.51,13.97,74271,14.32,2022-07-08T04:00:00Z,17231587,14.154991
13.66,13.915,13.553,75971,13.8,2022-07-11T04:00:00Z,17203228,13.653947
13.95,14.09,13.55,68113,13.55,2022-07-12T04:00:00Z,12410072,13.908262
14.18,14.33,13.425,94762,13.755,2022-07-13T04:00:00Z,19681391,13.972637
13.63,13.919,13.43,108198,13.83,2022-07-14T04:00:00Z,26643645,13.625545
13.96,13.99,13.6,73697,13.82,2022-07-15T04:00:00Z,19236354,13.865274
13.88,14.23,13.81,72623,14.03,2022-07-18T04:00:00Z,18189269,13.973359
14.25,14.33,13.9598,83761,14.0,2022-07-19T04:00:00Z,20471368,14.191031
14.44,14.59,13.94,93309,14.29,2022-07-20T04:00:00Z,20074675,14.320604
14.51,14.515,14.14,70639,14.33,2022-07-21T04:00:00Z,13080649,14.383902
14.65,14.99,14.35,80710,14.4,2022-07-22T04:00:00Z,20604625,14.639433
14.66,14.84,14.34,78702,14.65,2022-07-25T04:00:00Z,19192843,14.655399
14.43,14.65,14.3,62920,14.59,2022-07-26T04:00:00Z,13292299,14.432667
15.15,15.28,14.49,94708,14.56,2022-07-27T04:00:00Z,20007355,15.033041
15.59,15.64,14.805,88667,15.0,2022-07-28T04:00:00Z,19839360,15.321263
15.0,15.4,14.72,92610,15.35,2022-07-29T04:00:00Z,29051417,14.978772
15.4,15.735,14.8,100573,15.01,2022-08-01T04:00:00Z,23605005,15.400952
16.0,16.46,15.3,120508,15.43,2022-08-02T04:00:00Z,24088767,16.032219
16.71,16.85,15.99,106536,16.19,2022-08-03T04:00:00Z,23534845,16.568319
17.48,17.65,16.51,191263,16.51,2022-08-04T04:00:00Z,36222386,17.308975
14.59,15.15,14.415,262226,14.59,2022-08-05T04:00:00Z,70636936,14.697505
14.02,14.72,13.92,161716,14.7,2022-08-08T04:00:00Z,41956782,14.141568
13.1,14.0,12.93,187649,13.94,2022-08-09T04:00:00Z,44755246,13.205115
13.1,13.58,13.07,131964,13.36,2022-08-10T04:00:00Z,33347685,13.216102
13.68,13.95,13.2085,129734,13.26,2022-08-11T04:00:00Z,30257762,13.720039
13.68,13.86,13.36,99749,13.85,2022-08-12T04:00:00Z,24047188,13.624119
13.12,13.63,13.0633,124339,13.55,2022-08-15T04:00:00Z,35530619,13.301448
13.69,13.88,12.82,142360,13.07,2022-08-16T04:00:00Z,35701824,13.377799
13.26,13.54,13.05,95843,13.44,2022-08-17T04:00:00Z,25504232,13.263782
13.19,13.22,12.86,93281,13.16,2022-08-18T04:00:00Z,26790488,13.046448
13.73,13.75,12.97,109995,12.98,2022-08-19T04:00:00Z,27117225,13.565038
12.71,13.53,12.69,145378,13.48,2022-08-22T04:00:00Z,35481235,12.98805
12.79,13.15,12.702,110075,12.825,2022-08-23T04:00:00Z,24785317,12.859209
13.52,13.59,12.79,116294,12.84,2022-08-24T04:00:00Z,29355784,13.351375
13.56,13.66,13.34,93799,13.48,2022-08-25T04:00:00Z,22628372,13.496057
13.16,14.02,13.13,123759,13.56,2022-08-26T04:00:00Z,32086289,13.37334
13.2,13.47,12.98,79498,12.98,2022-08-29T04:00:00Z,20225236,13.244021
13.29,13.57,13.05,87607,13.36,2022-08-30T04:00:00Z,27354225,13.252136
13.24,13.545,13.2,76715,13.32,2022-08-31T04:00:00Z,29064575,13.265861
13.19,13.22,12.77,121228,13.02,2022-09-01T04:00:00Z,27086244,12.993272
13.06,13.52,13.0,103223,13.27,2022-09-02T04:00:00Z,22328381,13.225915
12.63,13.11,12.485,131667,13.11,2022-09-06T04:00:00Z,26689952,12.630845
12.68,12.88,12.48,93102,12.5,2022-09-07T04:00:00Z,17363704,12.737127
12.54,12.69,12.23,108449,12.54,2022-09-08T04:00:00Z,23678266,12.468192
13.03,13.09,12.67,128638,12.67,2022-09-09T04:00:00Z,24270661,12.936569
13.31,13.53,13.095,87801,13.18,2022-09-12T04:00:00Z,17176206,13.267569
12.95,13.18,12.745,94265,12.84,2022-09-13T04:00:00Z,22235503,12.950498
12.71,12.98,12.32,98344,12.95,2022-09-14T04:00:00Z,24993417,12.575904
13.17,13.335,12.55,107379,12.57,2022-09-15T04:00:00Z,23643382,13.159717
12.74,13.12,12.63,98525,13.04,2022-09-16T04:00:00Z,52415650,12.793098
13.16,13.36,12.55,98830,12.655,2022-09-19T04:00:00Z,26063979,13.071118
13.21,13.24,12.83,82557,13.06,2022-09-20T04:00:00Z,28707249,13.090872
12.22,13.2861,12.22,108803,13.18,2022-09-21T04:00:00Z,27391949,12.611828
12.01,12.38,11.88,116789,12.24,2022-09-22T04:00:00Z,25729382,12.049039
11.79,11.91,11.51,112859,11.785,2022-09-23T04:00:00Z,26772040,11.710112
11.41,12.045,11.385,101140,11.69,2022-09-26T04:00:00Z,26764127,11.540783
11.32,12.01,11.22,98442,11.52,2022-09-27T04:00:00Z,23880660,11.496487
11.79,11.87,11.2,91791,11.28,2022-09-28T04:00:00Z,21136116,11.695736
11.66,11.76,11.3017,88195,11.53,2022-09-29T04:00:00Z,21373937,11.593444
11.5,12.02,11.48,81634,11.71,2022-09-30T04:00:00Z,28494508,11.643061
11.95,12.03,11.555,82069,11.64,2022-10-03T04:00:00Z,19779144,11.894976
12.36,12.55,12.04,94327,12.08,2022-10-04T04:00:00Z,20279196,12.328723
12.22,12.3,11.86,63645,12.05,2022-10-05T04:00:00Z,15266926,12.122854
12.49,12.54,12.065,87305,12.2,2022-10-06T04:00:00Z,19296542,12.39584
11.98,12.48,11.88,69601,12.38,2022-10-07T04:00:00Z,15632492,12.037903
12.02,12.23,11.81,78253,12.04,2022-10-10T04:00:00Z,17770437,12.008548
11.6,12.03,11.385,112914,11.85,2022-10-11T04:00:00Z,27138400,11.675144
11.66,11.85,11.33,106823,11.48,2022-10-12T04:00:00Z,30281314,11.616428
12.5,12.56,11.25,141189,11.42,2022-10-13T04:00:00Z,31574989,12.177671
12.43,12.84,12.4,86061,12.55,2022-10-14T04:00:00Z,22119609,12.561908
12.32,12.64,12.28,90821,12.57,2022-10-17T04:00:00Z,22549789,12.413403
12.88,13.04,12.55,87702,12.618,2022-10-18T04:00:00Z,19337765,12.827333
12.61,13.19,12.55,91833,12.96,2022-10-19T04:00:00Z,21126020,12.720435
12.92,13.215,12.45,93603,12.66,2022-10-20T04:00:00Z,24774114,12.895136
