c,h,l,n,o,t,v,vw
12.78,16.94,12.38,3528,13.92,2021-06-02T04:00:00Z,665090,14.03
14.02,14.52,13.12,3095,13.62,2021-06-03T04:00:00Z,640998,13.96
14.78,15.46,13.88,4598,14.17,2021-06-04T04:00:00Z,784114,14.88
16.36,16.44,15.06,5914,15.08,2021-06-07T04:00:00Z,1024131,15.96
15.56,16.46,15.56,2944,16.26,2021-06-08T04:00:00Z,436724,15.92
14.72,16.75,14.71,3711,16.06,2021-06-09T04:00:00Z,569553,15.72
15.22,15.66,14.84,2910,15.09,2021-06-10T04:00:00Z,404975,15.12
15.7,15.7,15.2,2597,15.26,2021-06-11T04:00:00Z,424903,15.45
17.46,17.79,15.7,5404,15.7,2021-06-14T04:00:00Z,897413,17.06
18.95,19.05,16.83,4986,17.47,2021-06-15T04:00:00Z,715137,18.42
18.68,19.97,18.06,4850,18.86,2021-06-16T04:00:00Z,1006810,19.31
18.25,19.3,17.54,3383,18.78,2021-06-17T04:00:00Z,1149980,18.32
17.85,18.71,17.09,2756,18.46,2021-06-18T04:00:00Z,1424472,17.89
18.71,18.74,17.99,2114,18.03,2021-06-21T04:00:00Z,1066360,18.63
18.36,18.92,17.45,2347,18.71,2021-06-22T04:00:00Z,1049451,18.36
18.68,18.96,18.57,1260,18.63,2021-06-23T04:00:00Z,259970,18.76
18.92,19.21,18.58,2505,18.65,2021-06-24T04:00:00Z,680518,19.01
18.96,19.79,18.82,4196,19.49,2021-06-25T04:00:00Z,577696,19.14
18.34,19.45,18.28,1570,19.25,2021-06-28T04:00:00Z,188012,18.84
18.03,18.95,17.96,1608,18.5,2021-06-29T04:00:00Z,288803,18.35
18.16,18.77,17.97,1667,18.03,2021-06-30T04:00:00Z,265689,18.42
18.95,18.99,18.48,2118,18.49,2021-07-01T04:00:00Z,311646,18.9
18.64,18.96,18.51,1640,18.76,2021-07-02T04:00:00Z,227840,18.78
18.3,19.95,18.17,1997,18.84,2021-07-06T04:00:00Z,265916,18.63
17.86,18.39,17.36,1321,18.15,2021-07-07T04:00:00Z,171757,17.84
17.82,17.95,16.76,1391,17.47,2021-07-08T04:00:00Z,139865,17.63
18.15,18.25,17.79,1352,18.06,2021-07-09T04:00:00Z,145816,18.02
18.2,18.46,17.91,997,17.94,2021-07-12T04:00:00Z,123675,18.19
18.23,18.42,17.86,890,18.19,2021-07-13T04:00:00Z,77584,18.1
17.69,18.45,17.6,1606,18.45,2021-07-14T04:00:00Z,163292,17.97
16.78,18.19,16.43,2553,17.24,2021-07-15T04:00:00Z,315093,16.93
16.25,16.96,16.05,1559,16.89,2021-07-16T04:00:00Z,141651,16.53
15.19,15.51,14.93,1580,15.51,2021-07-19T04:00:00Z,234919,15.17
15.59,15.94,14.97,1200,15.21,2021-07-20T04:00:00Z,134699,15.68
16.27,16.7,15.79,1044,15.79,2021-07-21T04:00:00Z,99824,16.3
16.22,16.72,15.95,873,16.34,2021-07-22T04:00:00Z,64334,16.3
16.4,16.62,16.07,1227,16.29,2021-07-23T04:00:00Z,81441,16.34
17.26,17.36,16.35,698,16.46,2021-07-26T04:00:00Z,95263,17.04
16.25,17.46,16.25,746,17.24,2021-07-27T04:00:00Z,105086,16.7
16.77,17.16,16.28,1268,16.59,2021-07-28T04:00:00Z,139192,16.74
17.75,18.8,17.33,2213,17.33,2021-07-29T04:00:00Z,309962,17.9
17.4,18.23,17.1,858,17.95,2021-07-30T04:00:00Z,88825,17.47
16.96,18.86,16.91,2080,18.86,2021-08-02T04:00:00Z,254927,17.9
17.16,17.19,16.31,1491,16.96,2021-08-03T04:00:00Z,161587,16.99
16.12,16.91,16.1,1320,16.79,2021-08-04T04:00:00Z,182012,16.38
