c,h,l,n,o,t,v,vw
27.0,27.0,27.0,1,27.0,2021-09-03T04:00:00Z,500,27.0
26.6687,26.6687,26.0,3,26.0,2021-09-07T04:00:00Z,1500,26.306233
27.5,27.5,27.5,2,27.5,2021-09-08T04:00:00Z,500,27.5
27.5,27.5,27.5,0,27.5,2021-09-09T04:00:00Z,0,0.0
28.0,28.0,28.0,3,28.0,2021-09-10T04:00:00Z,500,28.0
28.0,28.0,28.0,0,28.0,2021-09-13T04:00:00Z,0,0.0
28.0,28.0,28.0,0,28.0,2021-09-14T04:00:00Z,0,0.0
28.0,28.0,28.0,0,28.0,2021-09-15T04:00:00Z,0,0.0
28.0,28.0,28.0,0,28.0,2021-09-16T04:00:00Z,0,0.0
28.0,28.0,28.0,0,28.0,2021-09-17T04:00:00Z,0,0.0
26.7363,26.7363,26.06,4,26.06,2021-09-20T04:00:00Z,400,26.39815
26.7363,26.7363,26.7363,0,26.7363,2021-09-21T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-09-22T04:00:00Z,0,0.0
26.7363,26.7363,26.03,4,26.03,2021-09-23T04:00:00Z,476,26.391847
26.7363,26.7363,26.7363,0,26.7363,2021-09-24T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-09-27T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-09-28T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-09-29T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-09-30T04:00:00Z,0,0.0
26.7363,26.7363,26.7363,0,26.7363,2021-10-01T04:00:00Z,0,0.0
27.9,27.9,27.9,2,27.9,2021-10-04T04:00:00Z,879,27.9
27.9,27.9,27.9,0,27.9,2021-10-05T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-06T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-07T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-08T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-11T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-12T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-13T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-14T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-15T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-18T04:00:00Z,0,0.0
27.9,27.9,27.9,0,27.9,2021-10-19T04:00:00Z,0,0.0
26.17,26.17,26.17,3,26.17,2021-10-20T04:00:00Z,179,26.17
26.2098,26.25,26.2098,15,26.25,2021-10-21T04:00:00Z,2820,26.237631
26.2098,26.2098,26.2098,0,26.2098,2021-10-22T04:00:00Z,0,0.0
26.2098,26.2098,26.2098,0,26.2098,2021-10-25T04:00:00Z,0,0.0
26.2098,26.2098,26.2098,0,26.2098,2021-10-26T04:00:00Z,0,0.0
26.2098,26.2098,26.2098,0,26.2098,2021-10-27T04:00:00Z,0,0.0
26.2098,26.2098,26.2098,0,26.2098,2021-10-28T04:00:00Z,0,0.0
26.2098,26.2098,26.2098,0,26.2098,2021-10-29T04:00:00Z,0,0.0
27.0,36.0,26.15,8,36.0,2021-11-01T04:00:00Z,1708,29.147059
27.0,27.0,27.0,0,27.0,2021-11-02T04:00:00Z,0,0.0
27.0,27.0,27.0,0,27.0,2021-11-03T04:00:00Z,0,0.0
27.0,27.0,27.0,0,27.0,2021-11-04T04:00:00Z,0,0.0
27.0,27.0,27.0,0,27.0,2021-11-05T04:00:00Z,0,0.0
