c,h,l,n,o,t,v,vw
20.46,20.47,20.46,13,20.46,2019-02-08T05:00:00Z,1501,20.47
20.47,20.51,20.42,47,20.46,2019-02-11T05:00:00Z,6200,20.47
20.46,20.46,20.46,29,20.46,2019-02-12T05:00:00Z,8293,20.46
20.46,20.46,20.46,0,20.46,2019-02-13T05:00:00Z,0,0.0
20.44,20.47,20.44,15,20.47,2019-02-14T05:00:00Z,5333,20.46
20.46,20.46,20.45,39,20.45,2019-02-15T05:00:00Z,4172,20.46
20.47,20.47,20.47,4,20.47,2019-02-19T05:00:00Z,1102,20.47
20.47,20.47,20.47,32,20.47,2019-02-20T05:00:00Z,1730,20.47
20.47,20.47,20.46,4,20.46,2019-02-21T05:00:00Z,459,20.47
20.49,20.49,20.49,1,20.49,2019-02-22T05:00:00Z,100,20.49
20.5,20.5,20.5,1,20.5,2019-02-25T05:00:00Z,100,20.5
20.51,20.51,20.51,2,20.51,2019-02-26T05:00:00Z,1010,20.51
20.51,20.51,20.51,6,20.51,2019-02-27T05:00:00Z,600,20.51
20.51,20.51,20.51,0,20.51,2019-02-28T05:00:00Z,0,0.0
20.54,20.54,20.53,27,20.53,2019-03-01T05:00:00Z,4354,20.54
20.55,20.55,20.55,17,20.55,2019-03-04T05:00:00Z,1216,20.55
20.54,20.54,20.54,2,20.54,2019-03-05T05:00:00Z,102,20.54
20.54,20.54,20.54,0,20.54,2019-03-06T05:00:00Z,0,0.0
20.58,20.6,20.57,6,20.6,2019-03-07T05:00:00Z,600,20.58
20.58,20.58,20.58,0,20.58,2019-03-08T05:00:00Z,0,0.0
20.58,20.58,20.58,0,20.58,2019-03-11T04:00:00Z,0,0.0
20.58,20.58,20.58,0,20.58,2019-03-12T04:00:00Z,0,0.0
20.62,20.62,20.62,2,20.62,2019-03-13T04:00:00Z,101,20.62
20.61,20.61,20.61,1,20.61,2019-03-14T04:00:00Z,100,20.61
20.64,20.64,20.63,22,20.63,2019-03-15T04:00:00Z,2016,20.64
20.64,20.64,20.64,4,20.64,2019-03-18T04:00:00Z,390,20.64
20.68,20.78,20.64,19,20.64,2019-03-19T04:00:00Z,2085,20.69
20.67,20.67,20.67,8,20.67,2019-03-20T04:00:00Z,115,20.67
20.78,20.87,20.78,14,20.78,2019-03-21T04:00:00Z,1150,20.82
20.8,20.8,20.8,1,20.8,2019-03-22T04:00:00Z,100,20.8
20.83,20.83,20.81,15,20.81,2019-03-25T04:00:00Z,663,20.83
20.84,20.84,20.82,2,20.82,2019-03-26T04:00:00Z,700,20.83
20.86,20.87,20.86,50,20.86,2019-03-27T04:00:00Z,4367,20.86
20.85,20.85,20.85,10,20.85,2019-03-28T04:00:00Z,189,20.85
20.85,20.85,20.85,13,20.85,2019-03-29T04:00:00Z,115,20.85
20.82,20.84,20.82,20,20.83,2019-04-01T04:00:00Z,2265,20.83
20.84,20.98,20.84,9,20.84,2019-04-02T04:00:00Z,1200,20.91
20.85,20.85,20.85,8,20.85,2019-04-03T04:00:00Z,616,20.85
20.85,20.85,20.85,0,20.85,2019-04-04T04:00:00Z,0,0.0
