c,h,l,n,o,t,v,vw
6.28,14.8,5.018,8919,7.24,2022-09-13T04:00:00Z,131493,8.229
6.7,7.012,5.002,819,5.002,2022-09-14T04:00:00Z,11303,5.723
6.2,6.2,5.488,285,5.644,2022-09-15T04:00:00Z,2828,5.879
5.626,6.2,5.4,173,5.695,2022-09-16T04:00:00Z,2526,5.688
5.444,5.666,5.04,105,5.04,2022-09-19T04:00:00Z,2483,5.491
5.04,6.55,5.04,159,5.04,2022-09-20T04:00:00Z,2089,5.343
4.62,5.04,4.4,119,5.04,2022-09-21T04:00:00Z,1798,4.795
5.0,5.14,4.4,108,4.402,2022-09-22T04:00:00Z,1110,4.548
4.0,4.798,3.916,227,4.798,2022-09-23T04:00:00Z,2971,4.081
3.202,4.044,2.4,91,4.02,2022-09-26T04:00:00Z,3213,3.617
3.622,4.198,3.4,34,3.4,2022-09-27T04:00:00Z,506,3.803
4.4,4.4,4.096,86,4.2,2022-09-28T04:00:00Z,752,4.196
5.0,5.8,3.7,43,3.7,2022-09-29T04:00:00Z,675,4.864
4.178,4.976,3.9,24,4.958,2022-09-30T04:00:00Z,281,4.659
6.0,7.0,4.204,109,5.8,2022-10-03T04:00:00Z,1851,5.862
5.198,6.0,5.198,15,6.0,2022-10-04T04:00:00Z,46,5.399
2.22,5.19,2.22,24,4.8,2022-10-05T04:00:00Z,547,4.81
4.0,7.0,3.6,32,3.6,2022-10-06T04:00:00Z,206,4.019
4.0,5.2,4.0,21,4.465,2022-10-07T04:00:00Z,414,4.132
3.8,4.396,3.8,26,4.002,2022-10-10T04:00:00Z,760,4.009
3.8,4.048,3.8,26,3.8,2022-10-11T04:00:00Z,114,3.847
3.284,4.0,3.284,130,3.8,2022-10-12T04:00:00Z,2135,3.605
3.4,3.4,3.4,14,3.4,2022-10-13T04:00:00Z,51,3.4
4.054,4.626,3.4,35,3.4,2022-10-14T04:00:00Z,352,3.489
3.85,3.85,3.4,57,3.4,2022-10-17T04:00:00Z,767,3.46
3.768,3.768,3.4,64,3.4,2022-10-18T04:00:00Z,403,3.424
3.4,4.1,3.4,86,3.4,2022-10-19T04:00:00Z,1548,3.408
3.4,3.4,3.4,31,3.4,2022-10-20T04:00:00Z,789,3.4
3.2,3.2,3.0,29,3.1,2022-10-21T04:00:00Z,450,3.027
3.198,3.2,3.0,20,3.0,2022-10-24T04:00:00Z,193,3.193
3.1,4.05,3.1,20,3.1,2022-10-25T04:00:00Z,127,3.315
3.534,3.534,3.0,59,3.1,2022-10-26T04:00:00Z,1145,3.136
3.0,3.0,3.0,2,3.0,2022-10-27T04:00:00Z,7,3.0
4.8,4.8,3.0,21,3.0,2022-10-28T04:00:00Z,82,3.626
3.7,3.7,3.0,10,3.0,2022-10-31T04:00:00Z,310,3.514
3.65,4.0,3.65,11,4.0,2022-11-01T04:00:00Z,114,3.982
4.38,4.38,3.65,10,3.65,2022-11-02T04:00:00Z,38,3.908
3.158,3.158,3.158,3,3.158,2022-11-03T04:00:00Z,11,3.158
3.2,3.2,3.0,7,3.0,2022-11-04T04:00:00Z,24,3.123
3.0,5.0,2.998,62,3.5,2022-11-07T05:00:00Z,1264,3.048
3.0,3.0,3.0,5,3.0,2022-11-08T05:00:00Z,50,3.0
2.22,3.012,2.22,15,3.0,2022-11-09T05:00:00Z,906,2.519
2.602,2.602,2.5,13,2.5,2022-11-10T05:00:00Z,61,2.587
2.5,2.612,2.5,23,2.612,2022-11-11T05:00:00Z,208,2.545
2.5,2.5,2.5,0,2.5,2022-11-14T05:00:00Z,0,0.0
2.44,2.44,2.44,2,2.44,2022-11-15T05:00:00Z,8,2.44
2.44,2.44,2.44,0,2.44,2022-11-16T05:00:00Z,0,0.0
2.328,2.328,2.328,6,2.328,2022-11-17T05:00:00Z,27,2.328
2.24,2.398,2.24,11,2.24,2022-11-18T05:00:00Z,202,2.287
2.266,2.4,2.24,9,2.24,2022-11-21T05:00:00Z,273,2.318
2.26,2.26,2.24,13,2.26,2022-11-22T05:00:00Z,147,2.243
2.26,2.26,2.26,0,2.26,2022-11-23T05:00:00Z,0,0.0
2.24,2.24,2.24,2,2.24,2022-11-25T05:00:00Z,66,2.24
2.4,2.4,2.24,12,2.24,2022-11-28T05:00:00Z,297,2.314
2.398,2.4,2.24,9,2.24,2022-11-29T05:00:00Z,115,2.378
2.264,2.4,2.244,6,2.4,2022-11-30T05:00:00Z,122,2.378
2.4,2.5,2.4,52,2.4,2022-12-01T05:00:00Z,3361,2.406
5.8,5.8,2.452,10,2.6,2022-12-02T05:00:00Z,179,2.701
3.6,3.6,2.966,23,2.966,2022-12-05T05:00:00Z,419,3.161
3.6,3.6,3.6,0,3.6,2022-12-06T05:00:00Z,0,0.0
2.8,2.8,2.3,9,2.3,2022-12-07T05:00:00Z,113,2.329
2.412,2.412,2.412,7,2.412,2022-12-08T05:00:00Z,17,2.412
2.6,2.6,2.6,3,2.6,2022-12-09T05:00:00Z,9,2.6
3.8,5.998,2.614,309,2.628,2022-12-12T05:00:00Z,1393,4.316
3.4,4.0,2.424,115,2.432,2022-12-13T05:00:00Z,744,3.087
3.16,5.798,2.64,195,4.378,2022-12-14T05:00:00Z,976,4.722
3.24,3.24,3.24,6,3.24,2022-12-15T05:00:00Z,39,3.24
4.526,4.526,4.16,120,4.526,2022-12-16T05:00:00Z,469,4.353
2.64,2.704,2.638,15,2.64,2022-12-19T05:00:00Z,49,2.666
2.832,2.868,2.434,51,2.84,2022-12-20T05:00:00Z,213,2.68
2.994,3.9,2.512,71,2.512,2022-12-21T05:00:00Z,409,3.0
3.0,3.0,2.302,9,2.302,2022-12-22T05:00:00Z,113,2.55
2.3,2.452,2.3,21,2.452,2022-12-23T05:00:00Z,504,2.333
2.61,3.396,2.516,93,3.396,2022-12-27T05:00:00Z,370,2.901
2.3,2.61,2.3,5,2.61,2022-12-28T05:00:00Z,45,2.462
2.3,2.3,2.3,0,2.3,2022-12-29T05:00:00Z,0,0.0
2.424,2.424,2.3,17,2.3,2022-12-30T05:00:00Z,149,2.326
2.3,2.424,2.3,8,2.3,2023-01-03T05:00:00Z,137,2.325
4.0,4.0,4.0,16,4.0,2023-01-04T05:00:00Z,761,4.0
4.0,4.0,4.0,5,4.0,2023-01-05T05:00:00Z,18,4.0
2.6,2.6,2.6,3,2.6,2023-01-06T05:00:00Z,8,2.6
2.302,4.0,2.302,22,3.2,2023-01-09T05:00:00Z,414,3.285
2.3,2.44,2.3,29,2.44,2023-01-10T05:00:00Z,891,2.307
2.6,2.6,2.5,8,2.5,2023-01-11T05:00:00Z,62,2.575
2.8,2.8,2.8,6,2.8,2023-01-12T05:00:00Z,17,2.8
2.55,2.798,2.55,4,2.798,2023-01-13T05:00:00Z,23,2.719
2.54,2.54,2.54,4,2.54,2023-01-17T05:00:00Z,28,2.54
2.424,2.424,2.424,0,2.424,2023-01-18T05:00:00Z,0,0.0
