c,h,l,n,o,t,v,vw
27.94,28.62,25.04,167851,25.05,2020-06-03T04:00:00Z,42227401,26.28
27.83,32.25,26.9,108426,30.16,2020-06-04T04:00:00Z,13451940,29.45
27.78,28.62,25.98,58959,28.29,2020-06-05T04:00:00Z,7540466,27.3
28.76,29.68,26.58,33221,27.09,2020-06-08T04:00:00Z,4458983,28.41
29.69,30.6,27.37,37660,27.59,2020-06-09T04:00:00Z,11977260,29.64
28.8,30.43,28.36,17115,29.78,2020-06-10T04:00:00Z,2258671,29.01
27.82,28.27,26.9,18698,27.11,2020-06-11T04:00:00Z,4763424,27.67
28.55,28.85,27.94,9827,28.24,2020-06-12T04:00:00Z,3414136,28.51
29.77,30.13,27.67,12430,27.82,2020-06-15T04:00:00Z,1621251,29.56
29.67,30.35,28.92,9142,30.15,2020-06-16T04:00:00Z,3057609,29.64
30.21,30.22,29.22,6888,29.48,2020-06-17T04:00:00Z,864383,29.9
30.35,30.52,29.32,8534,29.63,2020-06-18T04:00:00Z,968968,30.16
30.48,31.54,29.96,18231,30.52,2020-06-19T04:00:00Z,8889845,30.55
29.68,30.6,29.47,9088,30.45,2020-06-22T04:00:00Z,1057002,29.8
29.08,29.83,28.71,8331,29.73,2020-06-23T04:00:00Z,911120,29.12
29.06,29.59,28.78,5907,28.8,2020-06-24T04:00:00Z,621487,29.14
28.39,29.39,27.94,9866,28.68,2020-06-25T04:00:00Z,1149038,28.52
28.27,28.9,28.16,4533,28.42,2020-06-26T04:00:00Z,544481,28.36
29.16,29.88,28.29,8545,28.7,2020-06-29T04:00:00Z,1209023,29.14
27.37,29.32,27.21,10568,29.05,2020-06-30T04:00:00Z,2416959,27.96
27.32,28.29,26.49,9450,27.88,2020-07-01T04:00:00Z,1613489,27.33
27.23,27.88,26.96,6195,27.41,2020-07-02T04:00:00Z,613920,27.41
27.64,27.78,27.24,8728,27.72,2020-07-06T04:00:00Z,1133633,27.56
27.5,27.82,27.39,5327,27.39,2020-07-07T04:00:00Z,627050,27.58
27.81,28.28,27.55,5349,27.83,2020-07-08T04:00:00Z,771182,27.85
27.83,28.09,27.56,3665,28.04,2020-07-09T04:00:00Z,474729,27.8
28.65,28.76,27.63,3632,27.69,2020-07-10T04:00:00Z,379821,28.35
27.91,28.76,27.91,4804,28.66,2020-07-13T04:00:00Z,511965,28.09
27.5,27.86,27.43,3595,27.69,2020-07-14T04:00:00Z,365945,27.62
27.49,27.77,27.18,5253,27.38,2020-07-15T04:00:00Z,598609,27.38
27.54,28.29,27.19,3263,27.31,2020-07-16T04:00:00Z,319928,27.72
27.29,27.65,27.29,2986,27.55,2020-07-17T04:00:00Z,411754,27.4
26.86,27.49,26.62,4523,27.29,2020-07-20T04:00:00Z,480698,27.02
26.43,27.16,25.79,9250,26.86,2020-07-21T04:00:00Z,1583500,26.18
25.81,26.67,25.79,8339,26.35,2020-07-22T04:00:00Z,1121558,26.12
26.28,26.72,25.15,9761,25.86,2020-07-23T04:00:00Z,1147791,26.13
26.29,26.43,25.23,5337,25.99,2020-07-24T04:00:00Z,452664,25.93
26.58,26.89,26.09,3189,26.22,2020-07-27T04:00:00Z,306046,26.54
27.39,28.11,26.26,6733,26.57,2020-07-28T04:00:00Z,767810,27.5
27.84,28.02,26.47,8069,27.7,2020-07-29T04:00:00Z,1038934,27.65
27.75,28.01,27.14,3868,27.74,2020-07-30T04:00:00Z,337746,27.73
27.97,28.02,27.13,5253,27.83,2020-07-31T04:00:00Z,876274,27.82
27.78,28.43,27.61,12669,28.06,2020-08-03T04:00:00Z,1572475,27.99
26.86,28.3,26.33,9523,27.89,2020-08-04T04:00:00Z,1229646,27.27
26.57,27.27,26.16,5046,26.92,2020-08-05T04:00:00Z,1815228,26.55
26.78,27.08,26.46,3275,26.74,2020-08-06T04:00:00Z,531997,26.78
26.45,26.78,26.28,4980,26.72,2020-08-07T04:00:00Z,684209,26.48
27.05,27.66,26.66,4160,26.83,2020-08-10T04:00:00Z,578813,27.01
26.45,27.65,26.37,5413,26.89,2020-08-11T04:00:00Z,664231,27.01
27.32,27.66,26.23,6246,26.71,2020-08-12T04:00:00Z,1138773,27.23
27.5,27.59,26.84,3936,27.28,2020-08-13T04:00:00Z,460016,27.35
28.11,28.24,27.37,4724,27.46,2020-08-14T04:00:00Z,511583,28.03
28.78,28.97,27.44,5316,28.2,2020-08-17T04:00:00Z,556440,28.47
28.41,29.18,28.28,3686,28.97,2020-08-18T04:00:00Z,354171,28.66
28.32,28.41,27.91,3111,28.4,2020-08-19T04:00:00Z,355294,28.09
28.18,28.57,28.02,3475,28.45,2020-08-20T04:00:00Z,408116,28.25
27.89,28.2,27.35,3349,28.14,2020-08-21T04:00:00Z,652005,27.83
28.03,28.22,27.58,4318,27.99,2020-08-24T04:00:00Z,417210,27.9
27.44,28.08,26.91,4342,28.08,2020-08-25T04:00:00Z,459987,27.34
27.4,27.49,26.68,3636,27.4,2020-08-26T04:00:00Z,383385,27.24
26.86,27.91,26.78,5080,27.64,2020-08-27T04:00:00Z,435823,27.22
27.44,27.89,26.86,6802,27.43,2020-08-28T04:00:00Z,970081,27.41
27.7,27.94,27.1,8101,27.7,2020-08-31T04:00:00Z,999531,27.6
27.83,27.94,27.56,6647,27.7,2020-09-01T04:00:00Z,1869521,27.82
27.04,27.83,26.64,7422,27.83,2020-09-02T04:00:00Z,900224,27.05
26.64,27.04,26.25,9410,26.88,2020-09-03T04:00:00Z,994042,26.64
27.09,27.27,26.56,6615,26.6,2020-09-04T04:00:00Z,792231,26.96
26.5,27.78,26.46,8465,26.8,2020-09-08T04:00:00Z,910868,26.93
26.69,27.43,26.58,3756,26.65,2020-09-09T04:00:00Z,395397,27.01
26.55,27.11,26.41,3045,26.65,2020-09-10T04:00:00Z,305215,26.58
27.02,27.2,26.38,5808,26.55,2020-09-11T04:00:00Z,439607,26.99
26.84,27.33,26.48,5223,27.11,2020-09-14T04:00:00Z,436568,26.73
26.27,27.06,26.11,5547,27.03,2020-09-15T04:00:00Z,1399643,26.3
26.57,26.62,25.9,4218,26.29,2020-09-16T04:00:00Z,463782,26.44
25.74,26.58,25.47,5524,26.37,2020-09-17T04:00:00Z,592953,25.97
26.53,26.68,25.53,8139,25.72,2020-09-18T04:00:00Z,1538963,26.47
25.92,26.28,25.28,8130,26.28,2020-09-21T04:00:00Z,1621488,25.83
26.29,26.32,25.84,4990,25.96,2020-09-22T04:00:00Z,585735,26.16
26.03,26.49,25.64,6137,26.15,2020-09-23T04:00:00Z,713296,26.07
26.22,26.33,25.55,8729,26.16,2020-09-24T04:00:00Z,806453,26.04
25.16,26.29,25.09,6604,26.11,2020-09-25T04:00:00Z,721115,25.38
26.09,26.17,25.21,6419,25.36,2020-09-28T04:00:00Z,772879,25.68
26.27,26.46,26.01,4919,26.04,2020-09-29T04:00:00Z,689100,26.29
26.77,26.88,26.01,5153,26.18,2020-09-30T04:00:00Z,1234275,26.7
26.24,26.9,25.63,7221,26.79,2020-10-01T04:00:00Z,1165761,26.17
26.07,26.54,25.61,5490,25.89,2020-10-02T04:00:00Z,650512,26.05
26.39,26.46,25.86,3648,26.19,2020-10-05T04:00:00Z,422533,26.27
25.91,26.54,25.65,5406,26.44,2020-10-06T04:00:00Z,585640,25.93
