c,h,l,n,o,t,v,vw
24.54,24.57,24.44,204,24.47,2023-12-20T05:00:00Z,25204,24.53
24.51,24.6,24.49,132,24.6,2023-12-21T05:00:00Z,11430,24.55
24.48,24.61,24.46,108,24.61,2023-12-22T05:00:00Z,14724,24.51
24.53,24.54,24.48,74,24.5,2023-12-26T05:00:00Z,7250,24.51
24.69,24.69,24.55,122,24.6,2023-12-27T05:00:00Z,9478,24.63
24.6,24.67,24.59,101,24.67,2023-12-28T05:00:00Z,7219,24.63
24.55,24.57,24.53,40,24.54,2023-12-29T05:00:00Z,2721,24.55
24.42,24.48,24.41,92,24.46,2024-01-02T05:00:00Z,8260,24.45
24.46,24.47,24.36,35,24.39,2024-01-03T05:00:00Z,2343,24.43
24.38,24.46,24.36,88,24.46,2024-01-04T05:00:00Z,9850,24.41
24.3,24.38,24.29,33,24.38,2024-01-05T05:00:00Z,1749,24.32
24.37,24.42,24.36,61,24.41,2024-01-08T05:00:00Z,3374,24.38
24.4,24.41,24.3,84,24.3,2024-01-09T05:00:00Z,7153,24.38
24.4,24.43,24.38,41,24.43,2024-01-10T05:00:00Z,3411,24.39
24.47,24.47,24.36,20,24.36,2024-01-11T05:00:00Z,1258,24.38
24.51,24.57,24.49,32,24.51,2024-01-12T05:00:00Z,2371,24.51
24.39,24.45,24.35,49,24.35,2024-01-16T05:00:00Z,6539,24.38
24.31,24.33,24.28,39,24.33,2024-01-17T05:00:00Z,3416,24.32
24.26,24.31,24.26,32,24.3,2024-01-18T05:00:00Z,1677,24.31
24.27,24.29,24.24,39,24.29,2024-01-19T05:00:00Z,12196,24.28
24.36,24.37,24.21,38,24.21,2024-01-22T05:00:00Z,2995,24.31
24.26,24.27,24.25,31,24.25,2024-01-23T05:00:00Z,1846,24.26
24.23,24.34,24.23,62,24.34,2024-01-24T05:00:00Z,23803,24.3
24.33,24.36,24.3,50,24.31,2024-01-25T05:00:00Z,3888,24.33
24.3,24.33,24.27,57,24.27,2024-01-26T05:00:00Z,5795,24.29
24.38,24.41,24.32,23,24.32,2024-01-29T05:00:00Z,1996,24.37
24.41,24.41,24.34,34,24.4,2024-01-30T05:00:00Z,3162,24.35
24.48,24.53,24.48,26,24.5,2024-01-31T05:00:00Z,1644,24.51
24.61,24.64,24.56,33,24.56,2024-02-01T05:00:00Z,5437,24.61
24.44,24.44,24.36,29,24.36,2024-02-02T05:00:00Z,3186,24.41
24.26,24.29,24.25,33,24.29,2024-02-05T05:00:00Z,3226,24.28
24.37,24.38,24.32,30,24.32,2024-02-06T05:00:00Z,1587,24.35
24.34,24.37,24.33,38,24.33,2024-02-07T05:00:00Z,1836,24.35
24.26,24.3,24.26,31,24.29,2024-02-08T05:00:00Z,2542,24.29
24.25,24.35,24.23,61,24.26,2024-02-09T05:00:00Z,5354,24.27
24.25,24.28,24.24,30,24.27,2024-02-12T05:00:00Z,2128,24.26
