c,h,l,n,o,t,v,vw
18.58,19.0,15.6,4920,16.8,2019-09-19T04:00:00Z,1096468,17.155061
17.0,19.5,17.0,1285,18.12,2019-09-20T04:00:00Z,194602,18.463982
17.5,18.49,17.0801,706,17.11,2019-09-23T04:00:00Z,99739,17.681245
16.79,17.6375,16.0,544,17.46,2019-09-24T04:00:00Z,75243,16.734005
14.7,16.86,14.25,1045,16.86,2019-09-25T04:00:00Z,152212,15.385711
14.58,14.77,14.5,341,14.74,2019-09-26T04:00:00Z,46803,14.551829
14.5,15.0709,14.5,468,14.66,2019-09-27T04:00:00Z,53088,14.627763
15.49,15.49,14.5,149,14.5,2019-09-30T04:00:00Z,25550,14.96651
15.25,15.4752,14.85,201,15.23,2019-10-01T04:00:00Z,30686,15.153672
14.8,15.4063,14.37,279,15.2,2019-10-02T04:00:00Z,30730,14.861813
14.6,15.9,14.5,193,15.48,2019-10-03T04:00:00Z,34885,14.907375
14.55,14.78,14.5,142,14.51,2019-10-04T04:00:00Z,15965,14.608873
14.57,14.99,13.56,659,14.29,2019-10-07T04:00:00Z,94887,14.063898
13.75,14.4,13.27,548,14.31,2019-10-08T04:00:00Z,58637,13.930128
13.28,13.806,13.03,457,13.65,2019-10-09T04:00:00Z,58455,13.413688
13.02,13.3899,12.16,970,13.08,2019-10-10T04:00:00Z,245432,12.594737
12.61,13.34,11.54,941,13.34,2019-10-11T04:00:00Z,110996,12.489388
13.0,13.05,12.1651,822,13.05,2019-10-14T04:00:00Z,97526,12.679647
13.0,13.25,12.35,653,12.96,2019-10-15T04:00:00Z,64276,12.805313
12.95,13.01,12.55,473,13.005,2019-10-16T04:00:00Z,46804,12.867855
13.51,14.0,12.77,709,12.9,2019-10-17T04:00:00Z,85242,13.444376
13.99,14.0,13.01,336,13.36,2019-10-18T04:00:00Z,28981,13.70554
14.53,14.53,13.795,394,13.86,2019-10-21T04:00:00Z,31605,14.288923
14.18,14.54,13.65,742,14.53,2019-10-22T04:00:00Z,66424,14.079666
14.69,14.93,13.92,338,13.92,2019-10-23T04:00:00Z,33903,14.607261
14.07,14.75,13.5179,410,14.55,2019-10-24T04:00:00Z,55178,14.330146
14.7,14.99,13.5996,260,14.0,2019-10-25T04:00:00Z,25931,14.461085
14.82,15.0,13.95,212,14.7,2019-10-28T04:00:00Z,33915,14.66961
15.07,15.6,14.31,208,14.95,2019-10-29T04:00:00Z,20085,15.156395
15.85,15.85,14.51,339,15.18,2019-10-30T04:00:00Z,41702,15.076665
15.06,15.87,13.96,237,13.96,2019-10-31T04:00:00Z,16726,15.032142
15.91,17.05,15.0792,170,15.208,2019-11-01T04:00:00Z,16682,16.066879
17.47,18.1,14.68,819,16.15,2019-11-04T05:00:00Z,85539,16.604752
18.9,18.9,16.85,365,17.25,2019-11-05T05:00:00Z,25019,17.722382
20.38,21.045,18.04,712,18.56,2019-11-06T05:00:00Z,64050,19.847118
19.41,21.0,19.38,1107,20.3219,2019-11-07T05:00:00Z,96743,20.18186
19.31,19.985,18.205,584,19.86,2019-11-08T05:00:00Z,42071,19.310903
19.76,20.9,18.15,865,20.1,2019-11-11T05:00:00Z,44731,19.595411
19.49,20.0,18.775,305,18.775,2019-11-12T05:00:00Z,19059,19.590258
19.24,20.24,18.35,796,19.99,2019-11-13T05:00:00Z,97184,19.389932
18.7,20.2,18.17,524,19.05,2019-11-14T05:00:00Z,79214,18.758207
19.7,21.41,18.185,886,18.3,2019-11-15T05:00:00Z,243942,19.201579
19.33,20.915,18.72,560,19.42,2019-11-18T05:00:00Z,32720,19.572587
19.11,19.94,18.7224,514,19.3,2019-11-19T05:00:00Z,36542,19.377174
19.0,19.8,18.53,224,19.8,2019-11-20T05:00:00Z,23665,19.022685
17.71,18.95,16.93,690,18.84,2019-11-21T05:00:00Z,76507,17.733236
18.13,18.95,17.51,348,17.6158,2019-11-22T05:00:00Z,33293,17.99932
18.0,18.66,17.26,820,17.4,2019-11-25T05:00:00Z,93515,17.87997
17.62,18.255,16.96,1006,17.945,2019-11-26T05:00:00Z,123919,17.533238
17.01,17.85,16.8,693,17.39,2019-11-27T05:00:00Z,67124,17.237495
17.84,17.99,16.31,324,16.98,2019-11-29T05:00:00Z,26367,17.074869
18.13,18.4,17.4,818,17.99,2019-12-02T05:00:00Z,54837,17.919014
17.49,18.99,17.09,944,17.98,2019-12-03T05:00:00Z,84802,17.712349
18.12,18.4,17.16,1117,17.82,2019-12-04T05:00:00Z,54689,17.737344
18.0,19.01,17.61,1358,18.15,2019-12-05T05:00:00Z,72764,18.147435
18.29,19.23,17.52,830,18.325,2019-12-06T05:00:00Z,39871,18.241798
17.7,18.37,17.5,956,18.24,2019-12-09T05:00:00Z,47156,17.896918
18.09,18.88,17.3897,1217,17.77,2019-12-10T05:00:00Z,67691,17.985177
17.52,18.86,17.43,751,18.09,2019-12-11T05:00:00Z,49118,17.692405
17.54,18.35,17.5,872,17.765,2019-12-12T05:00:00Z,117378,17.899713
17.97,18.4,17.5423,722,17.55,2019-12-13T05:00:00Z,40883,17.934115
18.82,19.6009,17.64,1440,18.5,2019-12-16T05:00:00Z,133606,18.811181
18.59,19.275,18.0,1622,18.88,2019-12-17T05:00:00Z,144897,18.528054
20.53,21.93,18.144,1566,18.45,2019-12-18T05:00:00Z,218510,19.935234
21.64,23.18,20.05,1761,20.57,2019-12-19T05:00:00Z,178253,21.421357
