c,h,l,n,o,t,v,vw
6.24,7.329,6.03,996,7.06,2016-10-18T04:00:00Z,159878,6.34489
5.31,6.37,5.04,2187,6.15,2016-10-19T04:00:00Z,452724,5.398138
5.49,5.49,4.7,1128,5.26,2016-10-20T04:00:00Z,207301,5.215179
5.46,5.6693,5.26,806,5.6,2016-10-21T04:00:00Z,131988,5.463246
5.25,5.51,5.01,994,5.43,2016-10-24T04:00:00Z,137265,5.314937
5.34,5.37,5.11,619,5.15,2016-10-25T04:00:00Z,101624,5.280643
5.46,5.5899,5.18,591,5.18,2016-10-26T04:00:00Z,120361,5.460274
5.48,5.7399,5.3,1208,5.49,2016-10-27T04:00:00Z,239528,5.520396
5.51,5.72,5.325,876,5.38,2016-10-28T04:00:00Z,162645,5.531838
5.37,5.51,5.15,916,5.51,2016-10-31T04:00:00Z,178859,5.381432
5.44,5.54,5.2,612,5.36,2016-11-01T04:00:00Z,81165,5.331663
5.35,5.45,5.33,411,5.39,2016-11-02T04:00:00Z,60913,5.357474
5.22,5.35,5.185,461,5.35,2016-11-03T04:00:00Z,77665,5.249548
5.37,5.44,5.15,270,5.15,2016-11-04T04:00:00Z,32959,5.385597
5.39,5.47,5.25,395,5.4,2016-11-07T05:00:00Z,65526,5.383065
5.46,5.51,5.38,311,5.4,2016-11-08T05:00:00Z,48031,5.442872
5.64,5.77,5.3902,539,5.43,2016-11-09T05:00:00Z,96948,5.605613
5.65,5.85,5.5,545,5.67,2016-11-10T05:00:00Z,50264,5.682986
6.58,6.7,5.51,949,5.62,2016-11-11T05:00:00Z,154901,6.223821
6.75,7.05,6.57,739,6.7,2016-11-14T05:00:00Z,105351,6.787121
7.33,7.46,6.51,780,6.78,2016-11-15T05:00:00Z,141911,7.022378
7.24,7.623,7.0,670,7.35,2016-11-16T05:00:00Z,92769,7.270789
6.97,7.24,6.96,287,7.19,2016-11-17T05:00:00Z,33262,7.077406
6.65,7.08,6.5509,349,7.08,2016-11-18T05:00:00Z,60006,6.785495
6.53,6.79,6.37,516,6.66,2016-11-21T05:00:00Z,91283,6.61129
6.48,6.5535,6.36,210,6.48,2016-11-22T05:00:00Z,25091,6.408793
6.46,6.4926,6.11,251,6.44,2016-11-23T05:00:00Z,43725,6.336111
6.5,6.63,6.38,102,6.51,2016-11-25T05:00:00Z,12113,6.493047
6.1,6.49,6.075,269,6.45,2016-11-28T05:00:00Z,45147,6.209044
5.81,6.17,5.77,326,6.08,2016-11-29T05:00:00Z,37406,5.949486
5.58,5.81,5.51,296,5.81,2016-11-30T05:00:00Z,42614,5.605626
5.29,5.5592,5.23,415,5.54,2016-12-01T05:00:00Z,63570,5.366013
5.35,5.49,5.211,199,5.22,2016-12-02T05:00:00Z,28078,5.353922
5.55,5.55,5.34,180,5.34,2016-12-05T05:00:00Z,24463,5.491448
5.75,5.92,5.35,528,5.49,2016-12-06T05:00:00Z,58966,5.60793
5.53,5.88,5.4,381,5.67,2016-12-07T05:00:00Z,45142,5.542812
5.69,5.72,5.48,303,5.52,2016-12-08T05:00:00Z,40966,5.620599
5.68,5.8995,5.61,284,5.64,2016-12-09T05:00:00Z,35570,5.746926
5.51,5.69,5.49,256,5.59,2016-12-12T05:00:00Z,28226,5.558128
5.59,5.6899,5.48,221,5.63,2016-12-13T05:00:00Z,22562,5.574145
5.78,5.8,5.51,349,5.55,2016-12-14T05:00:00Z,57336,5.695903
5.68,5.8,5.6195,218,5.8,2016-12-15T05:00:00Z,27104,5.707364
5.8,5.8,5.6163,200,5.69,2016-12-16T05:00:00Z,29818,5.716934
5.73,5.9799,5.71,239,5.82,2016-12-19T05:00:00Z,35777,5.818026
5.67,5.87,5.62,262,5.68,2016-12-20T05:00:00Z,30878,5.699957
5.5,5.7163,5.5,303,5.65,2016-12-21T05:00:00Z,41897,5.563081
5.5,5.88,5.5,782,5.87,2016-12-22T05:00:00Z,197118,5.648308
5.36,5.6,5.28,435,5.47,2016-12-23T05:00:00Z,71810,5.40952
5.17,5.459,5.0825,468,5.3,2016-12-27T05:00:00Z,73136,5.167762
4.9,5.33,4.9,752,5.08,2016-12-28T05:00:00Z,135904,5.0893
4.59,4.95,4.58,683,4.84,2016-12-29T05:00:00Z,113151,4.780956
4.22,4.63,4.16,1073,4.53,2016-12-30T05:00:00Z,241678,4.352516
4.97,4.98,4.2,1064,4.2,2017-01-03T05:00:00Z,328370,4.715968
4.82,5.07,4.76,652,4.9,2017-01-04T05:00:00Z,156880,4.894442
4.94,5.05,4.72,362,4.88,2017-01-05T05:00:00Z,85764,4.841773
4.95,5.0399,4.76,445,4.95,2017-01-06T05:00:00Z,93008,4.913685
5.15,5.26,4.86,1515,5.05,2017-01-09T05:00:00Z,384538,5.142663
4.99,5.33,4.89,848,5.28,2017-01-10T05:00:00Z,187395,5.097222
4.77,5.02,4.7,441,5.02,2017-01-11T05:00:00Z,102957,4.794842
4.72,4.7799,4.5928,258,4.77,2017-01-12T05:00:00Z,50978,4.679005
4.9,5.11,4.682,658,4.75,2017-01-13T05:00:00Z,123846,4.951567
4.67,4.9589,4.62,424,4.79,2017-01-17T05:00:00Z,79892,4.718595
4.72,4.9089,4.6101,246,4.9089,2017-01-18T05:00:00Z,48538,4.675761
4.75,4.78,4.69,308,4.7,2017-01-19T05:00:00Z,35608,4.712168
4.59,4.72,4.56,242,4.67,2017-01-20T05:00:00Z,51959,4.595348
4.44,4.639,4.371,273,4.6,2017-01-23T05:00:00Z,43235,4.452014
4.53,4.54,4.305,280,4.5,2017-01-24T05:00:00Z,60689,4.424842
4.53,4.6099,4.46,178,4.52,2017-01-25T05:00:00Z,31844,4.529096
4.46,4.57,4.38,230,4.57,2017-01-26T05:00:00Z,40198,4.4299
4.4,4.43,4.32,246,4.36,2017-01-27T05:00:00Z,49130,4.369131
4.21,4.45,4.19,432,4.33,2017-01-30T05:00:00Z,100083,4.238924
4.29,4.31,4.17,329,4.26,2017-01-31T05:00:00Z,63452,4.230458
4.7,4.7,4.3884,771,4.5,2017-02-01T05:00:00Z,196110,4.567292
4.62,4.77,4.57,282,4.77,2017-02-02T05:00:00Z,52700,4.661058
4.45,4.6889,4.43,426,4.61,2017-02-03T05:00:00Z,81217,4.518166
4.3,4.53,4.28,316,4.4,2017-02-06T05:00:00Z,49122,4.341879
4.21,4.38,4.2,240,4.27,2017-02-07T05:00:00Z,42227,4.270869
4.15,4.2567,4.1,302,4.23,2017-02-08T05:00:00Z,57803,4.14637
4.1,4.2092,4.1,191,4.1,2017-02-09T05:00:00Z,26626,4.128627
4.03,4.13,3.96,275,4.1,2017-02-10T05:00:00Z,49340,4.052439
4.82,4.87,4.3,2238,4.3,2017-02-13T05:00:00Z,716398,4.654509
5.82,5.88,4.75,3146,4.88,2017-02-14T05:00:00Z,863651,5.33638
5.56,5.89,5.34,2003,5.89,2017-02-15T05:00:00Z,451454,5.619501
