c,h,l,n,o,t,v,vw
336.0,345.6,319.2,1177,331.2,2016-01-04T05:00:00Z,2382,332.75
312.0,336.0,302.4,1213,333.6,2016-01-05T05:00:00Z,2415,316.55
300.0,316.8,292.8,1553,307.2,2016-01-06T05:00:00Z,3455,300.18
247.2,295.2,247.2,1014,295.2,2016-01-07T05:00:00Z,3533,270.66
278.4,290.4,247.2,1284,252.0,2016-01-08T05:00:00Z,2432,275.65
254.4,288.0,254.4,742,280.8,2016-01-11T05:00:00Z,1802,263.1
242.4,268.8,240.0,856,256.8,2016-01-12T05:00:00Z,1981,250.14
240.0,251.95,234.58,539,247.2,2016-01-13T05:00:00Z,1162,239.83
271.2,271.2,240.0,546,249.6,2016-01-14T05:00:00Z,1226,255.18
249.6,278.4,244.8,1324,271.2,2016-01-15T05:00:00Z,2546,257.05
271.2,285.6,249.6,1897,249.6,2016-01-19T05:00:00Z,3485,265.5
283.2,307.2,271.2,2543,276.0,2016-01-20T05:00:00Z,5459,284.54
290.4,302.4,276.0,1919,288.0,2016-01-21T05:00:00Z,3762,290.24
295.2,302.4,278.4,937,300.0,2016-01-22T05:00:00Z,1599,289.79
316.8,319.2,288.0,1321,302.4,2016-01-25T05:00:00Z,2952,309.5
326.4,338.4,314.4,3279,324.0,2016-01-26T05:00:00Z,7604,329.51
314.4,333.6,302.4,1277,324.0,2016-01-27T05:00:00Z,2624,318.53
302.4,331.2,292.8,1183,328.8,2016-01-28T05:00:00Z,2122,313.72
300.0,314.4,292.8,1078,309.6,2016-01-29T05:00:00Z,1550,306.11
295.2,312.0,288.0,992,307.2,2016-02-01T05:00:00Z,1668,298.32
288.0,302.4,278.4,739,295.2,2016-02-02T05:00:00Z,1730,290.0
290.4,295.2,264.0,1718,280.8,2016-02-03T05:00:00Z,4735,279.19
290.4,309.6,283.2,940,297.6,2016-02-04T05:00:00Z,1520,291.49
288.0,295.18,271.2,819,290.4,2016-02-05T05:00:00Z,1987,281.42
278.4,292.8,271.2,2362,278.4,2016-02-08T05:00:00Z,3357,278.22
273.6,283.2,266.4,843,278.4,2016-02-09T05:00:00Z,1302,270.46
259.2,276.0,254.4,657,273.6,2016-02-10T05:00:00Z,1557,261.5
252.0,264.0,235.44,1312,254.4,2016-02-11T05:00:00Z,1978,245.28
235.2,264.0,235.2,918,261.6,2016-02-12T05:00:00Z,1227,251.23
244.8,247.2,240.0,1130,244.8,2016-02-16T05:00:00Z,1264,244.04
249.6,256.8,244.8,1094,249.6,2016-02-17T05:00:00Z,1274,249.92
259.2,259.2,240.0,1355,252.0,2016-02-18T05:00:00Z,1935,246.61
237.6,266.35,230.4,1124,264.0,2016-02-19T05:00:00Z,2469,245.78
247.2,249.6,240.0,633,240.0,2016-02-22T05:00:00Z,2154,243.45
235.2,252.0,231.6,922,252.0,2016-02-23T05:00:00Z,1417,237.43
225.6,240.0,223.2,1535,235.2,2016-02-24T05:00:00Z,2549,228.55
225.6,232.8,213.86,844,231.6,2016-02-25T05:00:00Z,2248,218.76
225.6,227.88,216.0,344,225.6,2016-02-26T05:00:00Z,795,221.43
230.4,239.52,223.2,649,225.6,2016-02-29T05:00:00Z,1089,235.28
232.78,238.18,228.67,199,232.8,2016-03-01T05:00:00Z,250,233.13
243.6,252.0,232.8,715,234.72,2016-03-02T05:00:00Z,1416,240.97
235.2,249.58,235.2,587,244.8,2016-03-03T05:00:00Z,1011,241.76
228.6,245.28,228.0,506,242.4,2016-03-04T05:00:00Z,1097,235.48
218.4,240.0,214.8,767,228.6,2016-03-07T05:00:00Z,1957,223.25
216.55,230.16,216.0,604,228.0,2016-03-08T05:00:00Z,710,222.86
215.88,224.69,213.6,410,218.4,2016-03-09T05:00:00Z,874,217.95
213.6,218.4,204.0,1283,216.0,2016-03-10T05:00:00Z,4163,211.65
207.0,218.4,201.6,849,218.4,2016-03-11T05:00:00Z,1737,209.11
209.04,218.4,204.12,873,218.4,2016-03-14T04:00:00Z,2902,211.26
199.68,213.6,194.88,722,213.6,2016-03-15T04:00:00Z,1969,201.27
193.2,208.8,192.0,348,199.2,2016-03-16T04:00:00Z,824,194.55
196.8,201.55,192.0,696,194.4,2016-03-17T04:00:00Z,1681,195.59
186.89,196.8,186.89,795,196.8,2016-03-18T04:00:00Z,1992,191.51
189.74,204.0,184.8,722,192.0,2016-03-21T04:00:00Z,2152,192.01
185.3,193.2,184.63,437,189.12,2016-03-22T04:00:00Z,1100,185.83
172.8,187.18,170.4,890,184.8,2016-03-23T04:00:00Z,1765,177.79
185.95,187.2,172.78,607,177.6,2016-03-24T04:00:00Z,1390,181.83
182.4,187.2,175.22,861,187.2,2016-03-28T04:00:00Z,1877,181.74
182.42,189.6,182.35,676,182.4,2016-03-29T04:00:00Z,1487,185.85
186.55,192.0,183.7,654,184.8,2016-03-30T04:00:00Z,2337,187.38
187.92,194.4,174.53,1563,191.52,2016-03-31T04:00:00Z,3318,186.87
192.05,196.27,187.2,600,187.92,2016-04-01T04:00:00Z,1020,192.41
196.8,199.2,192.0,747,194.4,2016-04-04T04:00:00Z,1529,196.78
188.52,196.8,184.8,457,196.8,2016-04-05T04:00:00Z,1067,189.87
188.78,194.4,187.2,544,188.52,2016-04-06T04:00:00Z,1119,191.67
183.6,192.29,180.36,385,192.0,2016-04-07T04:00:00Z,1086,184.95
175.51,187.2,175.44,472,183.6,2016-04-08T04:00:00Z,1337,178.53
192.0,192.0,175.2,907,175.51,2016-04-11T04:00:00Z,1250,181.84
191.28,192.05,184.8,482,186.96,2016-04-12T04:00:00Z,1496,189.16
187.73,192.0,184.8,686,191.76,2016-04-13T04:00:00Z,1262,188.55
192.0,196.8,188.4,466,189.6,2016-04-14T04:00:00Z,1354,192.56
206.4,215.76,192.0,1381,193.92,2016-04-15T04:00:00Z,3553,205.86
225.6,235.15,204.48,1383,204.48,2016-04-18T04:00:00Z,3606,224.39
228.0,230.4,216.0,1871,228.0,2016-04-19T04:00:00Z,3648,225.72
213.84,230.4,211.2,677,228.0,2016-04-20T04:00:00Z,1719,216.01
200.16,211.68,199.22,770,211.68,2016-04-21T04:00:00Z,1173,205.23
204.0,208.8,200.16,333,206.4,2016-04-22T04:00:00Z,775,203.96
201.6,208.56,192.0,872,204.48,2016-04-25T04:00:00Z,2240,198.69
202.8,206.4,194.4,402,201.6,2016-04-26T04:00:00Z,778,199.28
206.4,207.17,197.04,357,202.8,2016-04-27T04:00:00Z,767,204.35
201.6,213.6,201.6,555,204.0,2016-04-28T04:00:00Z,2309,206.98
195.84,196.8,175.2,979,184.8,2016-04-29T04:00:00Z,3174,189.82
201.6,213.6,198.14,569,212.4,2016-05-02T04:00:00Z,2422,206.03
200.38,213.6,196.85,550,213.6,2016-05-03T04:00:00Z,1557,200.63
187.2,199.2,182.83,825,199.2,2016-05-04T04:00:00Z,2238,191.27
189.6,198.94,187.2,408,192.0,2016-05-05T04:00:00Z,1235,190.84
189.6,196.8,187.1,368,188.4,2016-05-06T04:00:00Z,851,190.08
193.2,196.8,189.6,241,192.0,2016-05-09T04:00:00Z,492,192.58
184.8,194.4,180.0,644,194.4,2016-05-10T04:00:00Z,1692,184.51
191.57,200.4,180.0,710,184.8,2016-05-11T04:00:00Z,1750,189.19
189.6,211.2,189.6,754,206.4,2016-05-12T04:00:00Z,1966,195.73
183.62,196.8,182.42,397,196.8,2016-05-13T04:00:00Z,949,188.26
181.2,187.03,180.0,294,184.8,2016-05-16T04:00:00Z,888,182.16
196.8,201.6,177.6,799,182.4,2016-05-17T04:00:00Z,1957,189.65
200.42,208.8,192.0,777,199.2,2016-05-18T04:00:00Z,2266,198.66
190.68,201.6,180.0,793,199.2,2016-05-19T04:00:00Z,1712,189.0
184.94,199.2,184.82,449,199.2,2016-05-20T04:00:00Z,1129,189.48
203.76,212.4,187.2,2426,187.2,2016-05-23T04:00:00Z,8687,202.6
216.0,227.98,206.4,3207,210.36,2016-05-24T04:00:00Z,10714,218.14
211.2,235.2,207.19,2073,225.6,2016-05-25T04:00:00Z,6830,219.77
202.8,216.0,199.73,1117,213.6,2016-05-26T04:00:00Z,2536,205.35
206.16,206.4,194.4,886,204.0,2016-05-27T04:00:00Z,1988,199.81
219.38,220.8,203.26,665,206.4,2016-05-31T04:00:00Z,2354,213.55
201.86,225.6,201.6,1255,220.8,2016-06-01T04:00:00Z,2510,207.86
199.44,208.51,197.28,775,204.0,2016-06-02T04:00:00Z,1794,200.41
206.04,210.72,199.2,275,204.0,2016-06-03T04:00:00Z,650,202.53
204.48,206.04,199.44,573,204.0,2016-06-06T04:00:00Z,1341,202.51
199.2,213.6,199.2,574,213.6,2016-06-07T04:00:00Z,1166,201.1
201.58,201.72,196.8,263,199.32,2016-06-08T04:00:00Z,787,200.31
196.97,203.76,196.8,519,200.4,2016-06-09T04:00:00Z,1008,199.98
193.87,199.2,192.24,686,196.94,2016-06-10T04:00:00Z,1371,195.26
192.0,194.57,184.82,481,192.0,2016-06-13T04:00:00Z,1732,188.75
186.7,192.0,184.8,669,189.6,2016-06-14T04:00:00Z,1435,186.39
190.78,191.64,184.8,248,184.82,2016-06-15T04:00:00Z,630,188.56
204.0,208.78,189.6,618,192.0,2016-06-16T04:00:00Z,2451,199.27
208.8,208.8,201.62,344,204.0,2016-06-17T04:00:00Z,1441,206.64
204.46,211.2,201.6,243,208.8,2016-06-20T04:00:00Z,592,205.74
199.2,207.84,192.0,505,207.84,2016-06-21T04:00:00Z,1357,197.73
