c,h,l,n,o,t,v,vw
3569.9,3569.9,3569.9,2,3569.9,2016-01-26T05:00:00Z,0,3569.9
3569.9,3569.9,3569.9,0,3569.9,2016-01-27T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-01-28T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-01-29T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-01T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-02T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-03T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-04T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-05T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-08T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-09T05:00:00Z,0,0.0
3569.9,3569.9,3569.9,0,3569.9,2016-02-10T05:00:00Z,0,0.0
2853.11,2853.11,2389.3,8,2529.85,2016-02-11T05:00:00Z,1,2691.78
2853.11,2853.11,2853.11,0,2853.11,2016-02-12T05:00:00Z,0,0.0
2853.11,2853.11,2853.11,0,2853.11,2016-02-16T05:00:00Z,0,0.0
2640.6,2768.78,2136.32,7,2529.85,2016-02-17T05:00:00Z,1,2577.46
2640.6,2640.6,2640.6,0,2640.6,2016-02-18T05:00:00Z,0,0.0
2670.39,2759.78,2670.39,4,2759.78,2016-02-19T05:00:00Z,0,2712.05
2684.45,2712.42,2108.21,17,2698.5,2016-02-22T05:00:00Z,1,2383.77
2684.45,2684.45,2684.45,0,2684.45,2016-02-23T05:00:00Z,0,0.0
2642.29,2642.29,2642.29,1,2642.29,2016-02-24T05:00:00Z,0,2642.29
2417.41,2628.23,2192.53,233,2333.08,2016-02-25T05:00:00Z,20,2383.33
2557.96,2642.29,2248.75,115,2304.97,2016-02-26T05:00:00Z,8,2399.35
2684.45,2684.45,2347.14,17,2347.14,2016-02-29T05:00:00Z,1,2582.49
2726.61,2726.61,2276.86,4,2276.86,2016-03-01T05:00:00Z,0,2621.74
2571.87,2642.29,2319.03,57,2319.03,2016-03-02T05:00:00Z,36,2533.16
2529.85,2754.72,2389.3,86,2600.12,2016-03-03T05:00:00Z,31,2571.11
2487.68,2642.29,2389.3,69,2628.23,2016-03-04T05:00:00Z,23,2559.64
2375.25,2491.62,2375.25,3,2426.97,2016-03-07T05:00:00Z,0,2441.48
2600.12,2600.12,2600.12,6,2600.12,2016-03-08T05:00:00Z,0,2596.73
2881.22,2881.22,2501.6,38,2529.85,2016-03-09T05:00:00Z,2,2709.3
2782.83,2782.83,2782.83,3,2782.83,2016-03-10T05:00:00Z,2,2782.83
2782.83,2782.83,2782.83,0,2782.83,2016-03-11T05:00:00Z,0,0.0
2684.45,2684.45,2530.97,4,2530.97,2016-03-14T04:00:00Z,0,2584.6
2543.9,2656.34,2487.68,91,2487.68,2016-03-15T04:00:00Z,6,2563.27
2543.9,2543.9,2543.9,0,2543.9,2016-03-16T04:00:00Z,0,0.0
2611.79,2611.79,2575.95,4,2575.95,2016-03-17T04:00:00Z,0,2592.43
2611.79,2611.79,2611.79,0,2611.79,2016-03-18T04:00:00Z,0,0.0
2642.29,2642.29,2333.08,5,2389.16,2016-03-21T04:00:00Z,0,2445.49
2642.29,2642.29,2642.29,0,2642.29,2016-03-22T04:00:00Z,0,0.0
2642.29,2642.29,2642.29,0,2642.29,2016-03-23T04:00:00Z,0,0.0
2642.29,2642.29,2642.29,0,2642.29,2016-03-24T04:00:00Z,0,0.0
2642.29,2642.29,2642.29,0,2642.29,2016-03-28T04:00:00Z,0,0.0
2642.29,2642.29,2642.29,0,2642.29,2016-03-29T04:00:00Z,0,0.0
