c,h,l,n,o,t,v,vw
34.0,41.76,34.0,2501,35.2,2020-10-21T04:00:00Z,96434,36.38
31.28,34.72,31.28,845,34.0,2020-10-22T04:00:00Z,19555,33.3
31.2,32.0,31.2,204,31.28,2020-10-23T04:00:00Z,5924,31.27
31.2,32.11,31.2,204,31.2,2020-10-26T04:00:00Z,4713,31.36
30.8,31.55,30.8,79,31.2,2020-10-27T04:00:00Z,2410,31.15
30.84,31.04,30.8,63,30.8,2020-10-28T04:00:00Z,1558,30.83
30.92,31.1,30.8,44,30.8,2020-10-29T04:00:00Z,1478,30.81
30.4,31.04,30.4,44,30.8,2020-10-30T04:00:00Z,2271,30.8
30.4,30.72,30.4,30,30.4,2020-11-02T05:00:00Z,834,30.45
30.48,30.76,30.4,36,30.4,2020-11-03T05:00:00Z,560,30.54
30.4,31.35,30.4,22,30.4,2020-11-04T05:00:00Z,252,30.56
30.48,32.0,30.4,92,31.2,2020-11-05T05:00:00Z,2086,30.92
29.92,30.56,29.68,36,30.56,2020-11-06T05:00:00Z,670,30.17
30.96,31.84,30.4,48,31.84,2020-11-09T05:00:00Z,871,30.92
31.28,32.96,30.64,60,31.61,2020-11-10T05:00:00Z,2666,31.62
31.9,32.4,30.8,111,30.8,2020-11-11T05:00:00Z,3739,31.68
32.0,35.92,32.0,234,32.5,2020-11-12T05:00:00Z,8748,33.91
29.77,32.0,29.77,137,32.0,2020-11-13T05:00:00Z,4779,31.11
30.52,31.28,29.96,25,31.28,2020-11-16T05:00:00Z,326,30.14
30.2,31.2,29.68,46,30.8,2020-11-17T05:00:00Z,707,30.18
29.96,30.08,29.76,34,29.76,2020-11-18T05:00:00Z,233,29.94
29.6,31.36,29.6,45,31.36,2020-11-19T05:00:00Z,711,30.03
30.4,31.36,29.68,55,29.68,2020-11-20T05:00:00Z,1613,30.26
30.16,31.4,30.16,84,31.09,2020-11-23T05:00:00Z,2266,30.55
30.88,32.0,30.56,56,30.64,2020-11-24T05:00:00Z,1956,31.31
32.08,34.4,30.96,295,30.99,2020-11-25T05:00:00Z,8704,32.26
33.38,33.38,32.08,26,32.25,2020-11-27T05:00:00Z,452,32.39
33.2,34.22,33.2,78,33.44,2020-11-30T05:00:00Z,2835,33.7
33.52,34.05,33.52,57,33.67,2020-12-01T05:00:00Z,1319,33.65
33.21,34.08,32.8,62,33.44,2020-12-02T05:00:00Z,919,33.47
33.79,35.2,33.52,246,34.77,2020-12-03T05:00:00Z,8572,34.61
32.08,33.92,29.27,306,33.76,2020-12-04T05:00:00Z,29687,32.13
32.0,32.6,32.0,54,32.48,2020-12-07T05:00:00Z,1963,32.09
32.32,32.69,31.92,50,31.92,2020-12-08T05:00:00Z,1718,32.15
32.48,33.7,31.6,65,33.7,2020-12-09T05:00:00Z,3014,32.27
32.44,32.56,32.0,47,32.4,2020-12-10T05:00:00Z,1066,32.43
33.2,33.2,32.24,49,32.65,2020-12-11T05:00:00Z,847,32.67
31.2,35.2,31.2,269,33.2,2020-12-14T05:00:00Z,18065,33.47
32.0,32.08,31.2,26,31.2,2020-12-15T05:00:00Z,792,31.65
32.32,32.67,32.0,50,32.26,2020-12-16T05:00:00Z,737,32.22
140.0,150.72,34.4,136523,34.4,2020-12-17T05:00:00Z,2998726,98.07
89.92,139.12,84.16,24016,136.0,2020-12-18T05:00:00Z,434291,98.99
73.84,79.6,66.96,3552,79.12,2020-12-21T05:00:00Z,82444,72.57
82.4,110.8,69.92,18140,69.92,2020-12-22T05:00:00Z,396098,96.29
88.4,94.8,77.6,3491,77.6,2020-12-23T05:00:00Z,54423,86.86
92.64,94.4,84.8,1504,88.0,2020-12-24T05:00:00Z,22859,90.55
82.4,94.24,80.16,2144,94.24,2020-12-28T05:00:00Z,18910,84.57
84.64,86.72,80.01,920,82.16,2020-12-29T05:00:00Z,9004,82.48
84.8,86.56,82.24,3512,84.64,2020-12-30T05:00:00Z,19848,84.75
81.28,84.32,80.16,4107,83.68,2020-12-31T05:00:00Z,22939,82.17
78.56,83.36,76.24,7960,81.36,2021-01-04T05:00:00Z,37749,79.46
78.4,79.92,76.56,2982,77.52,2021-01-05T05:00:00Z,52137,78.14
84.0,85.52,77.84,403,77.84,2021-01-06T05:00:00Z,7948,83.11
86.56,88.0,84.0,316,84.4,2021-01-07T05:00:00Z,4066,85.44
87.2,92.0,84.8,475,87.92,2021-01-08T05:00:00Z,8841,88.28
86.56,89.87,84.56,238,88.48,2021-01-11T05:00:00Z,4528,87.32
82.16,90.16,80.8,300,86.56,2021-01-12T05:00:00Z,3888,84.13
82.48,84.72,81.28,229,82.24,2021-01-13T05:00:00Z,2738,82.27
85.04,86.99,82.76,149,82.96,2021-01-14T05:00:00Z,2637,84.83
84.8,85.2,82.41,260,85.2,2021-01-15T05:00:00Z,2743,84.06
96.32,109.44,87.76,882,87.76,2021-01-19T05:00:00Z,15909,97.89
102.48,110.72,92.48,899,100.08,2021-01-20T05:00:00Z,13904,103.91
102.16,107.6,100.77,248,102.48,2021-01-21T05:00:00Z,3056,104.24
138.4,143.2,102.72,1136,103.2,2021-01-22T05:00:00Z,18426,123.21
214.24,232.0,141.76,3019,141.76,2021-01-25T05:00:00Z,35830,192.46
190.32,208.0,178.08,1156,203.6,2021-01-26T05:00:00Z,10472,191.41
222.4,238.4,170.4,1634,185.44,2021-01-27T05:00:00Z,47447,184.25
268.8,279.2,204.64,1647,216.0,2021-01-28T05:00:00Z,27523,231.06
282.72,300.0,237.6,1328,264.96,2021-01-29T05:00:00Z,15250,266.79
185.6,464.0,176.08,35335,298.08,2021-02-01T05:00:00Z,829021,326.43
108.72,135.2,104.0,14812,127.16,2021-02-02T05:00:00Z,326400,118.74
96.8,112.64,86.4,17049,112.0,2021-02-03T05:00:00Z,397815,95.72
94.8,104.8,86.4,11458,95.84,2021-02-04T05:00:00Z,260501,94.03
97.2,106.64,90.4,10916,94.88,2021-02-05T05:00:00Z,261626,98.83
107.12,109.52,92.0,10374,97.52,2021-02-08T05:00:00Z,257192,101.15
100.8,107.28,97.84,6283,106.64,2021-02-09T05:00:00Z,128435,101.59
89.6,100.0,86.4,7512,99.04,2021-02-10T05:00:00Z,169235,92.19
88.0,92.0,87.04,2976,91.2,2021-02-11T05:00:00Z,46160,88.46
95.04,104.96,84.08,13601,88.48,2021-02-12T05:00:00Z,356218,97.78
94.56,101.92,92.8,3870,97.28,2021-02-16T05:00:00Z,77374,96.49
92.24,96.24,88.96,2621,96.24,2021-02-17T05:00:00Z,58091,91.65
86.64,92.96,85.6,3044,90.0,2021-02-18T05:00:00Z,64681,88.4
87.2,92.0,86.24,2297,86.64,2021-02-19T05:00:00Z,48727,88.66
79.2,89.92,73.52,3288,88.0,2021-02-22T05:00:00Z,45206,83.7
66.16,77.6,64.0,3211,75.92,2021-02-23T05:00:00Z,62794,68.4
76.08,79.04,72.64,3807,74.8,2021-02-24T05:00:00Z,58180,76.12
69.92,82.4,68.88,3486,80.8,2021-02-25T05:00:00Z,70977,75.8
67.84,72.4,66.48,2289,72.4,2021-02-26T05:00:00Z,39870,69.41
71.92,75.6,68.89,2886,72.96,2021-03-01T05:00:00Z,59812,72.05
68.0,71.84,66.8,2691,71.84,2021-03-02T05:00:00Z,47488,69.0
85.12,100.8,72.72,48303,74.4,2021-03-03T05:00:00Z,1186039,88.11
67.52,84.16,65.44,6716,82.72,2021-03-04T05:00:00Z,129511,70.07
65.2,70.24,56.88,2466,69.42,2021-03-05T05:00:00Z,49014,63.39
63.52,64.96,59.6,2219,63.76,2021-03-08T05:00:00Z,39971,61.56
59.04,65.15,57.6,4306,63.44,2021-03-09T05:00:00Z,98104,60.83
43.2,51.2,42.64,27094,50.56,2021-03-10T05:00:00Z,583646,44.98
46.4,47.44,44.0,14619,45.2,2021-03-11T05:00:00Z,415692,45.34
47.84,49.2,43.04,13460,44.16,2021-03-12T05:00:00Z,437763,46.58
46.88,48.8,45.28,6415,48.4,2021-03-15T04:00:00Z,176473,46.84
44.48,46.8,44.16,5042,46.8,2021-03-16T04:00:00Z,128683,45.2
46.16,47.44,43.2,4451,43.2,2021-03-17T04:00:00Z,152184,45.69
47.36,53.2,44.4,16121,46.0,2021-03-18T04:00:00Z,525229,49.38
48.8,50.24,46.8,3907,48.0,2021-03-19T04:00:00Z,139895,48.63
46.16,48.8,45.76,3930,48.16,2021-03-22T04:00:00Z,123415,46.91
43.44,46.96,43.28,3345,46.48,2021-03-23T04:00:00Z,68305,44.76
41.68,43.92,41.52,3627,43.92,2021-03-24T04:00:00Z,82844,42.31
39.6,40.8,37.36,3805,39.52,2021-03-25T04:00:00Z,128372,39.14
40.56,42.72,39.28,2713,40.16,2021-03-26T04:00:00Z,69199,41.32
38.16,41.52,37.6,1863,41.23,2021-03-29T04:00:00Z,53825,39.1
37.52,38.0,35.6,1666,37.92,2021-03-30T04:00:00Z,49055,36.79
36.72,39.04,36.72,1901,37.92,2021-03-31T04:00:00Z,47629,37.71
43.76,50.08,37.65,17728,38.56,2021-04-01T04:00:00Z,700844,44.78
42.64,46.24,40.56,5107,43.52,2021-04-05T04:00:00Z,161605,43.26
41.12,42.64,40.48,2346,41.76,2021-04-06T04:00:00Z,59608,41.28
39.92,42.48,39.2,2209,42.4,2021-04-07T04:00:00Z,55786,40.25
40.64,43.44,38.0,3531,39.68,2021-04-08T04:00:00Z,102645,40.43
39.2,40.8,38.72,1319,39.84,2021-04-09T04:00:00Z,29899,39.35
36.8,38.8,36.4,2262,38.48,2021-04-12T04:00:00Z,54029,37.22
38.08,38.4,35.36,1880,36.4,2021-04-13T04:00:00Z,42896,36.57
37.28,38.08,36.8,1088,37.52,2021-04-14T04:00:00Z,20666,37.49
35.28,37.6,34.8,1325,37.28,2021-04-15T04:00:00Z,33406,36.03
35.28,35.84,33.6,1492,35.28,2021-04-16T04:00:00Z,41741,34.36
33.2,35.04,32.88,1420,33.6,2021-04-19T04:00:00Z,42540,33.57
32.08,33.6,31.6,954,33.2,2021-04-20T04:00:00Z,36463,32.59
32.64,33.92,31.2,1296,31.2,2021-04-21T04:00:00Z,35258,32.66
34.0,35.84,32.4,1561,34.16,2021-04-22T04:00:00Z,54289,34.06
34.72,35.52,34.08,644,34.72,2021-04-23T04:00:00Z,19095,34.77
35.36,35.76,34.59,689,35.2,2021-04-26T04:00:00Z,21913,35.32
38.0,42.8,35.09,9893,35.44,2021-04-27T04:00:00Z,330324,40.02
39.12,42.8,38.49,3885,38.64,2021-04-28T04:00:00Z,144514,40.21
38.96,40.0,37.28,1816,39.92,2021-04-29T04:00:00Z,42541,38.73
37.52,38.88,37.12,1067,38.08,2021-04-30T04:00:00Z,23638,37.85
42.8,45.52,37.68,9255,37.99,2021-05-03T04:00:00Z,324241,42.05
38.72,42.04,37.6,2955,42.0,2021-05-04T04:00:00Z,86291,38.95
38.8,40.8,38.0,1126,38.0,2021-05-05T04:00:00Z,41227,39.24
36.32,39.84,35.52,1623,39.04,2021-05-06T04:00:00Z,53874,37.08
36.48,37.76,36.0,593,36.56,2021-05-07T04:00:00Z,15260,36.79
35.92,37.52,35.2,894,36.96,2021-05-10T04:00:00Z,21027,36.44
35.44,35.6,33.6,933,33.6,2021-05-11T04:00:00Z,32421,34.38
33.84,35.04,33.6,1422,34.88,2021-05-12T04:00:00Z,43731,33.96
33.04,34.56,32.56,927,33.76,2021-05-13T04:00:00Z,28610,33.37
34.24,34.88,33.04,487,33.88,2021-05-14T04:00:00Z,19377,33.99
34.76,35.28,33.84,396,33.92,2021-05-17T04:00:00Z,11519,34.54
36.88,38.16,34.92,1142,35.12,2021-05-18T04:00:00Z,31268,36.91
37.12,38.96,33.2,1648,35.28,2021-05-19T04:00:00Z,63494,35.9
36.96,38.3,35.6,987,37.04,2021-05-20T04:00:00Z,32284,36.74
36.88,39.2,36.16,1353,37.6,2021-05-21T04:00:00Z,67469,37.75
34.4,37.12,34.4,955,36.8,2021-05-24T04:00:00Z,37957,35.24
34.96,36.4,34.48,695,34.56,2021-05-25T04:00:00Z,18870,35.31
36.16,36.56,34.08,982,34.4,2021-05-26T04:00:00Z,23537,35.39
36.64,38.0,35.84,857,35.84,2021-05-27T04:00:00Z,20842,36.89
37.2,38.36,35.6,1310,36.64,2021-05-28T04:00:00Z,42235,37.15
40.16,41.92,37.68,3438,37.68,2021-06-01T04:00:00Z,130954,39.98
39.2,40.8,37.6,2345,40.32,2021-06-02T04:00:00Z,78447,39.08
39.52,46.0,38.16,7323,39.12,2021-06-03T04:00:00Z,301610,42.42
39.2,39.84,38.16,1063,39.68,2021-06-04T04:00:00Z,36882,38.96
40.56,40.8,38.4,1863,39.84,2021-06-07T04:00:00Z,59551,39.72
40.32,41.2,38.68,1459,40.64,2021-06-08T04:00:00Z,42768,39.82
40.24,43.16,40.08,2545,40.56,2021-06-09T04:00:00Z,73481,41.47
39.12,41.52,38.48,1458,41.04,2021-06-10T04:00:00Z,46936,39.47
40.64,41.04,38.8,1423,38.8,2021-06-11T04:00:00Z,46206,40.28
40.32,42.48,40.08,2510,40.64,2021-06-14T04:00:00Z,94526,41.17
37.28,40.64,36.96,2460,40.32,2021-06-15T04:00:00Z,71183,38.28
36.4,37.76,35.36,1215,37.6,2021-06-16T04:00:00Z,32095,36.46
36.0,37.44,35.2,711,36.4,2021-06-17T04:00:00Z,20739,36.19
34.88,36.8,34.8,1030,35.44,2021-06-18T04:00:00Z,24468,35.38
34.72,35.92,33.84,829,35.28,2021-06-21T04:00:00Z,17572,34.79
34.64,35.36,33.76,759,34.48,2021-06-22T04:00:00Z,18590,34.36
37.2,38.32,34.8,1521,34.8,2021-06-23T04:00:00Z,64297,36.64
35.44,37.6,35.04,1060,37.6,2021-06-24T04:00:00Z,30573,36.06
36.08,37.08,35.36,589,36.24,2021-06-25T04:00:00Z,21703,36.27
35.92,37.76,35.52,1138,36.0,2021-06-28T04:00:00Z,56872,36.74
35.28,35.96,34.8,3474,35.92,2021-06-29T04:00:00Z,91743,35.34
38.0,39.52,37.04,2645,37.84,2021-06-30T04:00:00Z,80222,38.07
38.16,39.36,37.36,901,38.08,2021-07-01T04:00:00Z,31153,38.32
36.48,37.84,35.2,854,37.84,2021-07-02T04:00:00Z,27619,36.16
37.6,37.6,36.4,17851,36.4,2021-07-06T04:00:00Z,451140,37.11
36.4,41.12,35.28,9351,40.64,2021-07-07T04:00:00Z,242486,37.73
35.52,36.4,33.68,2165,34.88,2021-07-08T04:00:00Z,72701,34.62
35.76,36.08,34.24,857,35.68,2021-07-09T04:00:00Z,19675,35.04
35.04,35.84,34.48,938,35.2,2021-07-12T04:00:00Z,22540,34.94
34.32,35.2,34.0,922,34.64,2021-07-13T04:00:00Z,25205,34.58
34.8,36.4,34.36,997,34.48,2021-07-14T04:00:00Z,37290,35.31
