c,h,l,n,o,t,v,vw
22.11,23.33,22.07,12224,23.08,2016-01-04T05:00:00Z,1561557,22.402525
21.99,22.87,21.35,9311,22.21,2016-01-05T05:00:00Z,1294806,21.924656
21.96,22.335,21.5,8904,21.72,2016-01-06T05:00:00Z,1125521,21.985128
21.5,22.02,21.43,8842,21.49,2016-01-07T05:00:00Z,1209377,21.70506
22.1,22.395,21.5908,7813,21.66,2016-01-08T05:00:00Z,1082041,22.114922
22.16,22.35,21.89,8983,22.28,2016-01-11T05:00:00Z,1231332,22.082494
22.34,22.51,21.73,9492,22.17,2016-01-12T05:00:00Z,1277705,22.149213
21.45,23.0,21.31,14346,22.33,2016-01-13T05:00:00Z,2422960,21.962603
20.77,21.49,19.83,20351,21.4,2016-01-14T05:00:00Z,2670182,20.508179
20.83,21.2,20.16,19198,20.4,2016-01-15T05:00:00Z,3441757,20.61085
20.67,21.06,20.19,15499,20.93,2016-01-19T05:00:00Z,3208429,20.592816
19.53,20.72,19.08,21054,20.59,2016-01-20T05:00:00Z,2872944,19.616337
18.94,19.73,18.8501,11201,19.69,2016-01-21T05:00:00Z,2076195,19.165509
20.18,20.31,19.12,12085,19.12,2016-01-22T05:00:00Z,1758360,19.889997
19.75,20.74,19.66,10902,20.08,2016-01-25T05:00:00Z,1215650,20.12925
20.12,20.17,19.15,10547,19.65,2016-01-26T05:00:00Z,2107634,19.859519
19.65,20.55,19.585,7142,20.01,2016-01-27T05:00:00Z,1020991,20.064096
19.5,20.32,19.475,7742,19.99,2016-01-28T05:00:00Z,1392323,19.696075
20.5,20.52,19.52,7927,19.52,2016-01-29T05:00:00Z,1442328,20.163419
19.25,20.51,19.06,14117,20.47,2016-02-01T05:00:00Z,2069810,19.328263
17.92,19.37,17.67,10666,19.06,2016-02-02T05:00:00Z,1401011,18.12281
17.65,18.64,17.28,11663,18.0,2016-02-03T05:00:00Z,1660323,17.69681
18.43,18.46,17.16,10882,17.62,2016-02-04T05:00:00Z,1842938,18.12985
16.92,18.34,16.71,18139,18.34,2016-02-05T05:00:00Z,3203468,17.279559
16.01,16.83,15.36,22638,16.65,2016-02-08T05:00:00Z,4713554,15.900638
16.2,16.61,15.62,15156,15.67,2016-02-09T05:00:00Z,3095217,16.026825
