c,h,l,n,o,t,v,vw
10.0,10.1,10.0,2,10.1,2016-08-30T04:00:00Z,200,10.05
10.025,10.025,10.025,2,10.025,2016-08-31T04:00:00Z,200,10.025
10.0,10.05,10.0,4,10.05,2016-09-01T04:00:00Z,5200,10.001923
10.0,10.0,10.0,0,10.0,2016-09-02T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2016-09-06T04:00:00Z,0,0.0
10.0,10.0,10.0,0,10.0,2016-09-07T04:00:00Z,0,0.0
10.05,10.06,10.05,6,10.06,2016-09-08T04:00:00Z,3000,10.053333
10.05,10.05,10.05,0,10.05,2016-09-09T04:00:00Z,0,0.0
10.05,10.05,10.05,0,10.05,2016-09-12T04:00:00Z,0,0.0
10.0,10.0,10.0,4,10.0,2016-09-13T04:00:00Z,10000,10.0
9.0,10.0,9.0,4,10.0,2016-09-14T04:00:00Z,2000,9.5
9.0,9.0,9.0,0,9.0,2016-09-15T04:00:00Z,0,0.0
9.0,9.0,9.0,0,9.0,2016-09-16T04:00:00Z,0,0.0
9.0,9.0,9.0,0,9.0,2016-09-19T04:00:00Z,0,0.0
10.05,10.05,10.0,6,10.0,2016-09-20T04:00:00Z,700,10.014286
10.6,10.6,9.9999,42,9.9999,2016-09-21T04:00:00Z,15900,10.506284
10.0,10.05,9.95,238,10.0,2016-09-22T04:00:00Z,53940,10.019003
10.6,12.5,0.1,32,10.05,2016-09-23T04:00:00Z,36523,2.904575
10.6,10.6,10.6,19,10.6,2016-09-26T04:00:00Z,7600,10.6
10.6,10.67,10.54,85,10.6,2016-09-27T04:00:00Z,273401,10.639786
10.65,10.65,10.5,108,10.65,2016-09-28T04:00:00Z,120302,10.646939
10.65,10.65,10.42,58,10.65,2016-09-29T04:00:00Z,71200,10.587514
10.65,10.65,10.5,486,10.65,2016-09-30T04:00:00Z,82634,10.637177
10.65,10.65,10.5,26,10.65,2016-10-03T04:00:00Z,19201,10.561695
10.65,10.65,10.65,2,10.65,2016-10-04T04:00:00Z,400,10.675
10.65,10.65,10.5,91,10.5,2016-10-05T04:00:00Z,9700,10.51701
10.65,10.65,10.5,319,10.65,2016-10-06T04:00:00Z,100200,10.594955
10.5,10.65,10.5,14,10.575,2016-10-07T04:00:00Z,13200,10.632955
10.5,10.65,10.5,10,10.65,2016-10-10T04:00:00Z,1400,10.553571
10.5,10.5,10.5,0,10.5,2016-10-11T04:00:00Z,0,0.0
10.65,10.65,10.45,33,10.65,2016-10-12T04:00:00Z,21280,10.576795
10.65,10.65,10.65,2,10.65,2016-10-13T04:00:00Z,13600,10.65
10.65,10.65,10.5,21,10.65,2016-10-14T04:00:00Z,63500,10.642441
10.65,10.65,10.65,0,10.65,2016-10-17T04:00:00Z,0,0.0
10.5,10.5,10.5,2,10.5,2016-10-18T04:00:00Z,2000,10.5
10.65,10.65,10.65,4,10.65,2016-10-19T04:00:00Z,1250,10.65
10.5,10.65,10.5,13,10.65,2016-10-20T04:00:00Z,5070,10.52071
10.65,10.65,10.65,77,10.65,2016-10-21T04:00:00Z,10091,10.649514
10.5,10.5,10.5,6,10.5,2016-10-24T04:00:00Z,1000,10.5
10.6,10.6,10.5,3,10.5,2016-10-25T04:00:00Z,323,10.53096
10.5,10.55,10.5,2,10.55,2016-10-26T04:00:00Z,200,10.525
10.65,10.65,10.65,2,10.65,2016-10-27T04:00:00Z,1400,10.65
10.65,10.65,10.65,0,10.65,2016-10-28T04:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2016-10-31T04:00:00Z,0,0.0
10.649,10.65,10.5,10,10.65,2016-11-01T04:00:00Z,701,10.607061
10.65,10.65,10.65,1,10.65,2016-11-02T04:00:00Z,2000,10.65
10.65,10.65,10.65,10,10.65,2016-11-03T04:00:00Z,25000,10.65
10.65,10.65,10.65,0,10.65,2016-11-04T04:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2016-11-07T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2016-11-08T05:00:00Z,0,0.0
10.65,10.65,10.65,6,10.65,2016-11-09T05:00:00Z,1300,10.65
10.5,10.5,10.5,100,10.5,2016-11-10T05:00:00Z,10000,10.5
10.5,10.5,10.5,0,10.5,2016-11-11T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-11-14T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-11-15T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-11-16T05:00:00Z,0,0.0
10.65,10.65,10.65,2,10.65,2016-11-17T05:00:00Z,100000,10.65
10.65,10.65,10.65,0,10.65,2016-11-18T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2016-11-21T05:00:00Z,0,0.0
10.5,10.65,10.5,7,10.65,2016-11-22T05:00:00Z,1151,10.571764
10.5,10.5,10.5,0,10.5,2016-11-23T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-11-25T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-11-28T05:00:00Z,0,0.0
10.5,10.65,10.5,9,10.5,2016-11-29T05:00:00Z,11410,10.515907
10.5,10.5,10.5,0,10.5,2016-11-30T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-01T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-02T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-05T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-06T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-07T05:00:00Z,0,0.0
10.5,10.5,10.5,10,10.5,2016-12-08T05:00:00Z,1000,10.5
10.5,10.5,10.5,0,10.5,2016-12-09T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-12T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-13T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-14T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-15T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-16T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-19T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-20T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-21T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-22T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-23T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2016-12-27T05:00:00Z,0,0.0
10.65,10.65,10.65,2,10.65,2016-12-28T05:00:00Z,10000,10.65
10.65,10.65,10.65,0,10.65,2016-12-29T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2016-12-30T05:00:00Z,0,0.0
10.65,10.65,10.65,4,10.65,2017-01-03T05:00:00Z,5400,10.65
10.65,10.65,10.65,0,10.65,2017-01-04T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2017-01-05T05:00:00Z,0,0.0
10.5,10.5,10.5,2,10.5,2017-01-06T05:00:00Z,1000,10.5
10.5,10.5,10.5,0,10.5,2017-01-09T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-10T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-11T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-12T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-13T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-17T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-18T05:00:00Z,0,0.0
10.5,10.5,10.5,0,10.5,2017-01-19T05:00:00Z,0,0.0
10.65,10.65,10.5,8,10.65,2017-01-20T05:00:00Z,97500,10.646154
10.65,10.65,10.65,0,10.65,2017-01-23T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2017-01-24T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2017-01-25T05:00:00Z,0,0.0
10.65,10.65,10.65,0,10.65,2017-01-26T05:00:00Z,0,0.0
10.65,10.65,10.65,1,10.65,2017-01-27T05:00:00Z,1100,10.65
